OBJECTID,IN_FID,Near_dest,Near_dst_rank
17,1,848.3435413,1
18,1,859.0539243,2
19,2,789.0814453,1
20,2,811.7864452,2
21,3,773.7505634,1
22,3,775.1959032,2
23,4,685.3244771,1
24,4,692.9293763,2
25,5,697.1013071,1
26,5,718.2887315,2
27,6,685.4485768,1
28,6,743.3097794,2
29,7,675.3241592,1
30,7,745.0684723,2
31,8,504.0019536,1
32,8,539.352875,2
33,9,616.4388447,1
34,9,688.8699817,2
35,10,487.905637,1
36,10,542.654661,2
37,11,609.5158541,1
38,11,689.2453366,2
39,12,672.7476105,1
40,12,762.4968803,2
41,13,449.5969385,1
42,13,475.967083,2
43,14,475.728843,1
44,14,502.9410648,2
45,15,438.6092306,1
46,15,488.4903611,2
47,16,697.7463946,1
48,16,793.9680928,2
49,17,422.9073417,1
50,17,425.7556632,2
51,18,640.9263452,1
52,18,741.9844842,2
53,19,658.1188478,1
54,19,763.4195965,2
55,20,307.8492929,1
56,20,321.9448135,2
57,21,266.2599202,1
58,21,286.8787387,2
59,22,547.6508702,1
60,22,652.5437465,2
61,23,205.9030663,1
62,23,270.7482774,2
63,24,724.0919414,1
64,24,838.9062812,2
65,25,541.4074457,1
66,25,653.8040577,2
67,26,311.2229197,1
68,26,416.6115008,2
69,27,672.6591216,1
70,27,791.4397598,2
71,28,865.1249455,1
72,28,908.1584012,2
73,29,217.3016426,1
74,29,308.4038052,2
75,30,378.6658039,1
76,30,491.6719862,2
77,31,762.4167159,1
78,31,882.3215946,2
79,32,807.5585704,1
80,32,879.7289599,2
81,33,712.0672564,1
82,33,833.7236316,2
83,34,258.168044,1
84,34,378.0604574,2
85,35,656.9774156,1
86,35,778.8453691,2
87,36,729.3518845,1
88,36,807.8464146,2
89,37,646.5282765,1
90,37,813.2741608,2
91,38,0,1
92,38,19.44696511,2
93,39,697.2520249,1
94,39,789.7192181,2
95,40,1.627418303,1
96,40,80.79624176,2
97,41,69.8257308,1
98,41,131.1701197,2
99,42,229.111222,1
100,42,350.8544205,2
101,43,589.735346,1
102,43,785.6288748,2
103,44,0,1
104,44,19.44696511,2
105,45,529.0919225,1
106,45,788.0227793,2
107,46,631.7672418,1
108,46,740.9313191,2
109,47,725.9206898,1
110,47,766.8179293,2
111,48,44.21206351,1
112,48,95.84101561,2
113,49,527.2150883,1
114,49,721.5711153,2
115,50,218.0370825,1
116,50,326.0447635,2
117,51,7.407894499,1
118,51,66.24234245,2
119,52,403.4697393,1
120,52,684.214784,2
121,53,271.488364,1
122,53,389.8330286,2
123,54,193.4028424,1
124,54,240.7519445,2
125,55,118.8130851,1
126,55,168.8035562,2
127,56,0,1
