OBJECTID,IN_FID,Near_exp_dist,Near_exp_rank,Near_dest,Near_dst_rank
1,105,0,1,0,1
2,105,0,1,0,1
3,106,0,1,0,1
4,106,0,1,0,1
5,116,0,1,0,1
6,116,0,1,0,1
7,117,0,1,0,1
8,117,0,1,0,1
9,133,0,1,0,1
10,133,0,1,0,1
11,134,0,1,0,1
12,134,0,1,0,1
13,146,0,1,0,1
14,146,0,1,0,1
15,147,0,1,0,1
16,147,0,1,0,1
17,1,848.3435413,1,0,1
18,1,859.0539243,2,14.53443287,2
19,2,789.0814453,1,0,1
20,2,811.7864452,2,22.01640822,2
21,3,773.7505634,1,0,1
22,3,775.1959032,2,14.53443287,2
23,4,685.3244771,1,0,1
24,4,692.9293763,2,17.32136996,2
25,5,697.1013071,1,0,1
26,5,718.2887315,2,17.32136996,2
27,6,685.4485768,1,0,1
28,6,743.3097794,2,138.4593925,2
29,7,675.3241592,1,0,1
30,7,745.0684723,2,19.6457645,2
31,8,504.0019536,1,0,1
32,8,539.352875,2,13.14275526,2
33,9,616.4388447,1,0,1
34,9,688.8699817,2,19.6457645,2
35,10,487.905637,1,0,1
36,10,542.654661,2,44.55271815,2
37,11,609.5158541,1,0,1
38,11,689.2453366,2,19.92345861,2
39,12,672.7476105,1,0,1
40,12,762.4968803,2,9.625136835,2
41,13,449.5969385,1,0,1
42,13,475.967083,2,13.14275526,2
43,14,475.728843,1,0,1
44,14,502.9410648,2,59.35746132,2
45,15,438.6092306,1,0,1
46,15,488.4903611,2,42.04581026,2
47,16,697.7463946,1,0,1
48,16,793.9680928,2,9.625136835,2
49,17,422.9073417,1,0,1
50,17,425.7556632,2,13.6433524,2
51,18,640.9263452,1,0,1
52,18,741.9844842,2,11.07726484,2
53,19,658.1188478,1,0,1
54,19,763.4195965,2,11.07726484,2
55,20,307.8492929,1,0,1
56,20,321.9448135,2,3.343455904,2
57,21,266.2599202,1,0,1
58,21,286.8787387,2,3.343455904,2
59,22,547.6508702,1,0,1
60,22,652.5437465,2,56.69740459,2
61,23,205.9030663,1,0,1
62,23,270.7482774,2,66.348121,2
63,24,724.0919414,1,0,1
64,24,838.9062812,2,25.79202351,2
65,25,541.4074457,1,0,1
66,25,653.8040577,2,62.98574718,2
67,26,311.2229197,1,0,1
68,26,416.6115008,2,35.22713941,2
69,27,672.6591216,1,0,1
70,27,791.4397598,2,25.79202351,2
71,28,865.1249455,1,0,1
72,28,908.1584012,2,15.47099921,2
73,29,217.3016426,1,0,1
74,29,308.4038052,2,117.058892,2
75,30,378.6658039,1,0,1
76,30,491.6719862,2,35.22713941,2
77,31,762.4167159,1,0,1
78,31,882.3215946,2,3.541871458,2
79,32,807.5585704,1,0,1
80,32,879.7289599,2,3.541871458,2
81,33,712.0672564,1,0,1
82,33,833.7236316,2,4.4264696,2
83,34,258.168044,1,0,1
84,34,378.0604574,2,35.12562186,2
85,35,656.9774156,1,0,1
86,35,778.8453691,2,4.4264696,2
87,36,729.3518845,1,0,1
88,36,807.8464146,2,6.872787434,2
89,37,646.5282765,1,0,1
90,37,813.2741608,2,19.30422683,2
91,38,0,1,0,1
92,38,19.44696511,2,1.627418303,2
93,39,697.2520249,1,0,1
94,39,789.7192181,2,6.872787434,2
95,40,1.627418303,1,0,1
96,40,80.79624176,2,1.627418303,2
97,41,69.8257308,1,0,1
98,41,131.1701197,2,44.03462281,2
99,42,229.111222,1,0,1
100,42,350.8544205,2,35.12562186,2
101,43,589.735346,1,0,1
102,43,785.6288748,2,13.60008875,2
103,44,0,1,0,1
104,44,19.44696511,2,19.44696511,2
105,45,529.0919225,1,0,1
106,45,788.0227793,2,12.12810455,2
107,46,631.7672418,1,0,1
108,46,740.9313191,2,17.93765201,2
109,47,725.9206898,1,0,1
110,47,766.8179293,2,85.42868133,2
111,48,44.21206351,1,0,1
112,48,95.84101561,2,44.21206351,2
113,49,527.2150883,1,0,1
114,49,721.5711153,2,12.12810455,2
115,50,218.0370825,1,0,1
116,50,326.0447635,2,33.67096873,2
117,51,7.407894499,1,0,1
118,51,66.24234245,2,7.407894499,2
119,52,403.4697393,1,0,1
120,52,684.214784,2,15.71737855,2
121,53,271.488364,1,0,1
122,53,389.8330286,2,33.67096873,2
123,54,193.4028424,1,0,1
124,54,240.7519445,2,82.51972119,2
125,55,118.8130851,1,0,1
126,55,168.8035562,2,118.8130851,2
127,56,0,1,0,1
128,56,48.12080932,2,7.407894499,2
129,57,490.3494279,1,0,1
130,57,577.8961484,2,41.15979289,2
131,58,318.5302513,1,0,1
132,58,363.2925619,2,97.18085124,2
133,59,0,1,0,1
134,59,48.12080932,2,48.12080932,2
135,60,601.6671779,1,0,1
136,60,601.9285293,2,1.441329493,2
137,61,457.6279045,1,0,1
138,61,556.7059015,2,20.84913305,2
139,62,183.8333104,1,0,1
140,62,253.9327404,2,1.524351186,2
141,63,270.739961,1,0,1
142,63,563.492704,2,7.777591933,2
143,64,569.3589864,1,0,1
144,64,591.9349069,2,1.441329493,2
145,65,411.6716146,1,0,1
146,65,542.8359295,2,20.84913305,2
147,66,512.1406559,1,0,1
148,66,588.8120358,2,76.51292677,2
149,67,214.5272981,1,0,1
150,67,276.4182062,2,1.524351186,2
151,68,200.4312261,1,0,1
152,68,491.6363265,2,7.777591933,2
153,69,532.9749253,1,0,1
154,69,540.3243731,2,40.72272211,2
155,70,246.5020741,1,0,1
156,70,314.0429218,2,3.453881408,2
157,71,440.3221714,1,0,1
158,71,440.6079597,2,103.1762213,2
159,72,189.2626151,1,0,1
160,72,468.2076756,2,8.392134713,2
161,73,157.6668733,1,0,1
