OBJECTID,IN_FID,Near_exp_dist,Near_exp_rank
17,1,848.343541,1
18,1,859.053924,2
19,2,789.081445,1
20,2,811.786445,2
21,3,773.750563,1
22,3,775.195903,2
23,4,685.324477,1
24,4,692.929376,2
25,5,697.101307,1
26,5,718.288732,2
27,6,685.448577,1
28,6,743.309779,2
29,7,675.324159,1
30,7,745.068472,2
31,8,504.001954,1
32,8,539.352875,2
33,9,616.438845,1
34,9,688.869982,2
35,10,487.905637,1
36,10,542.654661,2
37,11,609.515854,1
38,11,689.245337,2
39,12,672.747611,1
40,12,762.496880,2
41,13,449.596939,1
42,13,475.967083,2
43,14,475.728843,1
44,14,502.941065,2
45,15,438.609231,1
46,15,488.490361,2
47,16,697.746395,1
48,16,793.968093,2
49,17,422.907342,1
50,17,425.755663,2
51,18,640.926345,1
52,18,741.984484,2
53,19,658.118848,1
54,19,763.419597,2
55,20,307.849293,1
56,20,321.944814,2
57,21,266.259920,1
58,21,286.878739,2
59,22,547.650870,1
60,22,652.543747,2
61,23,205.903066,1
62,23,270.748277,2
63,24,724.091941,1
64,24,838.906281,2
65,25,541.407446,1
66,25,653.804058,2
67,26,311.222920,1
68,26,416.611501,2
69,27,672.659122,1
70,27,791.439760,2
71,28,865.124946,1
72,28,908.158401,2
73,29,217.301643,1
74,29,308.403805,2
75,30,378.665804,1
76,30,491.671986,2
77,31,762.416716,1
78,31,882.321595,2
79,32,807.558570,1
80,32,879.728960,2
81,33,712.067256,1
82,33,833.723632,2
83,34,258.168044,1
84,34,378.060457,2
85,35,656.977416,1
86,35,778.845369,2
87,36,729.351885,1
88,36,807.846415,2
89,37,646.528277,1
90,37,813.274161,2
91,38,0.000000,1
92,38,19.446965,2
93,39,697.252025,1
94,39,789.719218,2
95,40,1.627418,1
96,40,80.796242,2
97,41,69.825731,1
98,41,131.170120,2
99,42,229.111222,1
100,42,350.854421,2
101,43,589.735346,1
102,43,785.628875,2
103,44,0.000000,1
104,44,19.446965,2
105,45,529.091923,1
106,45,788.022779,2
107,46,631.767242,1
108,46,740.931319,2
109,47,725.920690,1
110,47,766.817929,2
111,48,44.212064,1
112,48,95.841016,2
113,49,527.215088,1
114,49,721.571115,2
115,50,218.037083,1
116,50,326.044764,2
117,51,7.407894,1
118,51,66.242342,2
119,52,403.469739,1
120,52,684.214784,2
121,53,271.488364,1
122,53,389.833029,2
123,54,193.402842,1
124,54,240.751945,2
125,55,118.813085,1
126,55,168.803556,2
127,56,0.000000,1
128,56,48.120809,2
129,57,490.349428,1
130,57,577.896148,2
131,58,318.530251,1
132,58,363.292562,2
133,59,0.000000,1
134,59,48.120809,2
135,60,601.667178,1
136,60,601.928529,2
137,61,457.627905,1
138,61,556.705902,2
139,62,183.833310,1
140,62,253.932740,2
141,63,270.739961,1
142,63,563.492704,2
143,64,569.358986,1
144,64,591.934907,2
145,65,411.671615,1
146,65,542.835930,2
147,66,512.140656,1
148,66,588.812036,2
149,67,214.527298,1
150,67,276.418206,2
151,68,200.431226,1
152,68,491.636327,2
153,69,532.974925,1
154,69,540.324373,2
155,70,246.502074,1
156,70,314.042922,2
157,71,440.322171,1
158,71,440.607960,2
159,72,189.262615,1
160,72,468.207676,2
161,73,157.666873,1
162,73,198.129132,2
163,74,132.356351,1
164,74,184.561486,2
165,75,73.701683,1
166,75,360.653236,2
167,76,224.740622,1
168,76,419.433151,2
169,77,0.000000,1
170,77,245.623008,2
171,78,368.360947,1
172,78,390.142244,2
173,79,100.994535,1
