OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK
1,1,1,0,1
2,1,13,21.64502212,2
3,2,2,0,1
4,2,17,22.9984723,2
5,3,3,0,1
6,3,25,7.350082404,2
7,4,4,0,1
8,4,35,73.77938444,2
9,5,6,848.3435413,1
10,5,5,859.0539243,2
11,6,6,789.0814453,1
12,6,5,811.7864452,2
13,7,5,773.7505634,1
14,7,6,775.1959032,2
15,8,5,685.3244771,1
16,8,6,692.9293763,2
17,9,5,697.1013071,1
18,9,6,718.2887315,2
19,10,6,685.4485768,1
20,10,5,743.3097794,2
21,11,6,675.3241592,1
22,11,5,745.0684723,2
23,12,6,504.0019536,1
24,12,5,539.352875,2
25,13,6,616.4388447,1
26,13,5,688.8699817,2
27,14,6,487.905637,1
28,14,5,542.654661,2
29,15,6,609.5158541,1
30,15,5,689.2453366,2
31,16,6,672.7476105,1
32,16,5,762.4968803,2
33,17,6,449.5969385,1
34,17,5,475.967083,2
35,18,5,475.728843,1
36,18,6,502.9410648,2
37,19,6,438.6092306,1
38,19,5,488.4903611,2
39,20,6,697.7463946,1
40,20,5,793.9680928,2
41,21,6,422.9073417,1
42,21,5,425.7556632,2
43,22,6,640.9263452,1
44,22,5,741.9844842,2
45,23,6,658.1188478,1
46,23,5,763.4195965,2
47,24,6,307.8492929,1
48,24,5,321.9448135,2
49,25,6,266.2599202,1
50,25,5,286.8787387,2
51,26,6,547.6508702,1
52,26,5,652.5437465,2
53,27,6,205.9030663,1
54,27,5,270.7482774,2
55,28,6,724.0919414,1
56,28,5,838.9062812,2
57,29,6,541.4074457,1
58,29,5,653.8040577,2
59,30,6,311.2229197,1
60,30,5,416.6115008,2
61,31,6,672.6591216,1
62,31,5,791.4397598,2
63,32,6,865.1249455,1
64,32,9,908.1584012,2
65,33,5,217.3016426,1
66,33,6,308.4038052,2
67,34,6,378.6658039,1
68,34,5,491.6719862,2
69,35,6,762.4167159,1
70,35,5,882.3215946,2
71,36,6,807.5585704,1
72,36,9,879.7289599,2
73,37,6,712.0672564,1
74,37,5,833.7236316,2
75,38,6,258.168044,1
76,38,5,378.0604574,2
77,39,6,656.9774156,1
78,39,5,778.8453691,2
79,40,9,729.3518845,1
80,40,14,807.8464146,2
81,41,9,646.5282765,1
82,41,14,813.2741608,2
83,42,5,0,1
84,42,6,19.44696511,2
85,43,9,697.2520249,1
86,43,14,789.7192181,2
87,44,5,1.627418303,1
88,44,6,80.79624176,2
89,45,5,69.8257308,1
90,45,7,131.1701197,2
91,46,6,229.111222,1
92,46,5,350.8544205,2
93,47,9,589.735346,1
94,47,14,785.6288748,2
95,48,6,0,1
96,48,5,19.44696511,2
97,49,9,529.0919225,1
98,49,14,788.0227793,2
99,50,9,631.7672418,1
100,50,14,740.9313191,2
101,51,14,725.9206898,1
102,51,9,766.8179293,2
103,52,6,44.21206351,1
104,52,5,95.84101561,2
105,53,9,527.2150883,1
106,53,14,721.5711153,2
107,54,6,218.0370825,1
108,54,5,326.0447635,2
109,55,7,7.407894499,1
110,55,8,66.24234245,2
111,56,9,403.4697393,1
112,56,19,684.214784,2
113,57,6,271.488364,1
114,57,5,389.8330286,2
115,58,6,193.4028424,1
116,58,7,240.7519445,2
117,59,8,118.8130851,1
118,59,7,168.8035562,2
119,60,7,0,1
120,60,8,48.12080932,2
121,61,6,490.3494279,1
122,61,7,577.8961484,2
123,62,6,318.5302513,1
124,62,7,363.2925619,2
125,63,8,0,1
126,63,7,48.12080932,2
127,64,21,601.6671779,1
128,64,14,601.9285293,2
129,65,9,457.6279045,1
130,65,14,556.7059015,2
131,66,7,183.8333104,1
132,66,6,253.9327404,2
133,67,9,270.739961,1
134,67,1,563.492704,2
135,68,21,569.3589864,1
136,68,17,591.9349069,2
137,69,9,411.6716146,1
138,69,14,542.8359295,2
139,70,14,512.1406559,1
140,70,18,588.8120358,2
141,71,7,214.5272981,1
142,71,6,276.4182062,2
143,72,9,200.4312261,1
144,72,1,491.6363265,2
145,73,21,532.9749253,1
146,73,14,540.3243731,2
147,74,7,246.5020741,1
148,74,6,314.0429218,2
149,75,7,440.3221714,1
150,75,6,440.6079597,2
151,76,9,189.2626151,1
152,76,1,468.2076756,2
153,77,7,157.6668733,1
154,77,8,198.1291322,2
155,78,10,132.3563514,1
156,78,8,184.561486,2
157,79,9,73.70168329,1
158,79,1,360.6532364,2
159,80,9,224.7406222,1
160,80,19,419.4331513,2
161,81,9,0,1
162,81,1,245.6230081,2
163,82,21,368.3609465,1
164,82,17,390.142244,2
165,83,9,100.9945349,1
166,83,1,314.6699691,2
167,84,2,320.2727499,1
168,84,17,379.5981454,2
169,85,14,298.3555663,1
170,85,19,310.2072578,2
171,86,14,275.518721,1
172,86,19,332.3287965,2
173,87,9,27.51799217,1
174,87,1,148.7027835,2
175,88,12,250.4749095,1
176,88,20,280.4104019,2
177,89,10,0,1
178,89,11,82.52920371,2
179,90,1,100.8884051,1
180,90,9,121.3753962,2
181,91,14,211.2191641,1
182,91,18,290.015007,2
183,92,2,258.7916253,1
184,92,20,292.562185,2
185,93,14,236.2730418,1
186,93,21,321.1131754,2
187,94,9,170.8086916,1
188,94,1,284.219089,2
189,95,21,222.410567,1
190,95,17,236.0380367,2
191,96,2,216.1749917,1
192,96,17,232.9870936,2
193,97,14,219.5984995,1
194,97,21,294.5947629,2
195,98,21,198.8883973,1
196,98,17,212.3313355,2
197,99,19,178.9725645,1
198,99,14,213.5939438,2
199,100,1,18.14169213,1
200,100,13,110.0906305,2
201,101,14,144.6186238,1
202,101,18,230.0234872,2
203,102,11,0,1
204,102,12,18.34772275,2
205,103,20,115.4439007,1
206,103,12,245.2586073,2
207,104,20,144.0037537,1
208,104,2,204.855575,2
209,105,20,109.7682396,1
210,105,12,131.0531661,2
211,106,12,0,1
212,106,11,18.34772275,2
213,107,2,112.5483079,1
214,107,17,151.2478999,2
215,108,2,123.0052654,1
216,108,17,202.5006789,2
217,109,19,171.6264464,1
218,109,4,177.121645,2
219,110,4,119.9295161,1
220,110,26,165.9909053,2
221,111,13,0,1
222,111,16,6.374171901,2
223,112,14,0,1
224,112,18,23.37195488,2
225,113,15,0,1
226,113,12,105.0915774,2
227,114,20,38.10204566,1
228,114,15,107.9549302,2
229,115,15,15.76397074,1
230,115,12,105.3352707,2
231,116,2,20.32326255,1
232,116,17,121.6071303,2
233,117,16,0,1
234,117,13,6.374171901,2
235,118,20,115.2819697,1
236,118,2,132.4591413,2
237,119,3,15.91917283,1
238,119,25,67.82554343,2
239,120,17,0,1
240,120,2,22.9984723,2
241,121,18,0,1
242,121,14,23.37195488,2
243,122,20,23.86792152,1
244,122,29,164.7436844,2
245,123,19,0,1
246,123,23,12.97194136,2
247,124,20,0,1
248,124,29,126.4437838,2
249,125,26,32.39091036,1
250,125,19,63.95412636,2
251,126,21,0,1
252,126,17,25.72704326,2
253,127,2,20.9027423,1
254,127,17,23.30760099,2
255,128,27,37.44058667,1
256,128,4,102.1540585,2
257,129,21,30.97292796,1
258,129,30,41.75931138,2
259,130,22,0,1
260,130,16,68.92226568,2
261,131,3,20.90391348,1
262,131,28,28.47120744,2
263,132,23,0,1
264,132,19,12.97194136,2
265,133,29,103.8038974,1
266,133,15,123.9237313,2
267,134,24,0,1
268,134,18,41.87999182,2
269,135,20,130.9814213,1
270,135,2,213.3086553,2
271,136,25,0,1
272,136,3,7.350082404,2
273,137,26,0,1
274,137,23,29.46749119,2
275,138,27,0,1
276,138,16,95.59186061,2
277,139,29,69.83623765,1
278,139,15,177.6069363,2
279,140,28,0,1
280,140,3,73.75773157,2
281,141,28,23.0124134,1
282,141,3,61.14878317,2
283,142,17,111.759335,1
284,142,2,126.4642816,2
285,143,29,0,1
286,143,20,126.4437838,2
287,144,30,0,1
288,144,32,18.78115737,2
289,145,24,10.40105433,1
290,145,36,24.71789559,2
291,146,26,40.737778,1
292,146,23,57.89362118,2
293,147,31,0,1
294,147,34,10.31400992,2
295,148,32,0,1
296,148,30,18.78115737,2
297,149,33,0,1
298,149,32,70.91122116,2
299,150,34,26.65842476,1
300,150,37,32.12911332,2
301,151,34,0,1
302,151,31,10.31400992,2
303,152,35,0,1
304,152,26,58.91425225,2
305,153,36,0,1
306,153,38,13.31185628,2
307,154,22,230.2111586,1
308,154,16,376.2774128,2
309,155,37,0,1
310,155,34,49.1066329,2
311,156,38,0,1
312,156,36,13.31185628,2
313,157,34,96.94777895,1
314,157,31,125.2849611,2
315,158,37,158.4407243,1
316,158,34,189.1017366,2
317,159,22,408.7973202,1
318,159,27,423.1861083,2
319,160,37,127.7934534,1
320,160,34,199.916319,2
321,161,37,166.593418,1
322,161,34,232.6165865,2
323,162,37,252.2376592,1
324,162,34,316.4539001,2
325,163,35,412.8047985,1
326,163,4,416.4834071,2
327,164,35,436.0731931,1
328,164,4,468.3319581,2
329,165,39,170.4467508,1
330,165,41,218.6102962,2
331,166,35,464.5848818,1
332,166,4,506.7881823,2
333,167,35,513.9334705,1
334,167,4,566.8810526,2
335,168,39,61.27823051,1
336,168,41,104.7830595,2
337,169,39,0,1
338,169,41,20.12478218,2
339,170,45,233.7849766,1
340,170,51,465.0389839,2
341,171,40,0,1
342,171,39,70.02559361,2
343,172,45,107.7395543,1
344,172,51,444.3928967,2
345,173,41,0,1
346,173,42,10.43587626,2
347,174,45,125.9305017,1
348,174,53,485.0836082,2
349,175,45,460.5049644,1
350,175,51,497.999977,2
351,176,45,235.4530063,1
352,176,53,495.1217722,2
353,177,45,128.4934765,1
354,177,51,395.9248524,2
355,178,45,88.4684215,1
356,178,53,442.4440714,2
357,179,42,0,1
358,179,41,10.43587626,2
359,180,64,586.1716477,1
360,180,45,655.9583336,2
361,181,45,131.3902395,1
362,181,51,299.2820518,2
363,182,56,393.9400724,1
364,182,51,398.2767147,2
365,183,43,0,1
366,183,42,12.19473863,2
367,184,44,0,1
368,184,48,33.25359325,2
369,185,45,0,1
370,185,51,320.2625084,2
371,186,64,502.5582497,1
372,186,45,516.2426015,2
373,187,45,54.93274713,1
374,187,53,290.6673421,2
375,188,56,307.8545357,1
376,188,51,315.2997073,2
377,189,64,460.5533848,1
378,189,53,543.0267656,2
379,190,46,0,1
380,190,43,24.39593387,2
381,191,47,0.746732473,1
382,191,46,95.40945388,2
383,192,51,139.7259641,1
384,192,56,201.6034893,2
385,193,47,0,1
386,193,49,9.184218009,2
387,194,48,28.67235097,1
388,194,50,47.27980031,2
389,195,48,0,1
390,195,50,17.05327472,2
391,196,47,56.24619591,1
392,196,49,87.89195052,2
393,197,49,0,1
394,197,47,9.184218009,2
395,198,49,6.036730608,1
396,198,47,8.644196723,2
397,199,56,283.1924004,1
398,199,60,350.6829789,2
399,200,56,319.0239269,1
400,200,60,369.0712633,2
401,201,48,333.1323525,1
402,201,44,338.4640147,2
403,202,51,46.66094637,1
404,202,56,140.0319436,2
405,203,56,196.8693422,1
406,203,60,262.6227284,2
407,204,50,0,1
408,204,48,17.05327472,2
409,205,52,33.18253992,1
410,205,54,105.9072661,2
411,206,49,93.42275383,1
412,206,47,137.0719303,2
413,207,55,37.28736566,1
414,207,51,72.84617038,2
415,208,56,63.63007318,1
416,208,60,136.1882307,2
417,209,51,0,1
418,209,57,36.14874754,2
419,210,55,4.76540999,1
420,210,59,69.79951937,2
421,211,52,0,1
422,211,58,8.229044016,2
423,212,53,0,1
