Type,Variable name,Alias,Deviance,n,Scale,Source
Construction,build_EAVES,"Eaves (enclosed, unenclosed, unknown, no eaves)",4.919,505,Building,Structure assessment-DINS
Construction,build_WINDOWPANE,"Window pane (singlepane, multipane, unknown, no windows)",4.674,595,Building,Structure assessment-DINS
Construction,build_ROOFCONSTR,"Roof materials (asphalt, concrete, metal, tile, wood, other, unknown)",2.122,1104,Building,Structure assessment-DINS
Construction,build_PROPANETAN,"Distance to propane tank  (in feet, 0-10, 11-20, 21-30, >30', unknown, no tank)",1.945,873,Building,Structure assessment-DINS
Construction,build_FENCEATTAC,"Fence materials (combustible, non-combustible, no fence, unknown)",1.169,1074,Building,Structure assessment-DINS
Construction,build_VEGCLEARAN,"Defensible space-vegetation clearance (in feet, 0-30, 30-100, >100, unknown, not applicable)",0.868,1178,Building,Structure assessment-DINS
Construction,build_DECKPORCHO,"On-grade deck/porch materials (composite, masonry/concrete, wood, unknown, no deck/porch)",0.445,987,Building,Structure assessment-DINS
Construction,build_VENTSCREEN,"Vent screen (mesh screen <= 1/8"", mesh screen > 1/8"", unscreened, unknown, no vents)",0.4,436,Building,Structure assessment-DINS
Construction,build_PATIOCOVER,"Carport/covered patio materials (combustible, non-combustible, unknown, no patio/carport)",0.218,978,Building,Structure assessment-DINS
Construction,build_EXTERIORSI,"Exterior siding (combustible, ignition-resistant, unknown)",0.152,1161,Building,Structure assessment-DINS
Construction,build_area,Building area (ft2),0.026,11181,Building,Structure assessment-DINS
Construction,parcel_year_built,Year built (from parcel data),0.009,10169,Parcel,LA County data
Defensible Space,parcel_Imperv_P,Parcel land cover- percent impervious,7.585,11181,Parcel,UVM
Defensible Space,parcel_Build_P,Parcel land cover- percent buildings,7.06,11181,Parcel,UVM
Defensible Space,parcel_Paved_P,Parcel land cover- percent paved,3.786,11181,Parcel,UVM
Defensible Space,parcel_Grass_P,Parcel land cover- percent grass,3.186,11181,Parcel,UVM
Defensible Space,parcel_Can_P,Parcel land cover- percent tree,2.689,11181,Parcel,UVM
Defensible Space,parcel_Shrub_P,Parcel land cover- percent shrub,1.709,11181,Parcel,UVM
Defensible Space,parcel_Soil_P,Parcel land cover- percent soil,1.32,11181,Parcel,UVM
Defensible Space,build_overhang_ht,Average height of trees overhanging building (UNITS),0.602,11134,Building,UVM
Defensible Space,build_min_dist_tree,Distance to nearest tree (UNITS),0.435,11181,Building,UVM
Defensible Space,build_min_dist_shrub,Distance to nearest shrub (UNITS),0.423,11181,Building,UVM
Defensible Space,build_dist_to_build_ft_jod,Distance to nearest building (ft),0.374,11134,Building,UVM
Defensible Space,build_has_tree_overhang,Do trees overhang building (binary),0.318,11134,Building,UVM
Defensible Space,parcel_Road_P,Parcel land cover- percent road,0.133,11181,Parcel,UVM
Defensible Space,build_perc_overhang,Percent of building with trees over top,0.116,11134,Building,UVM
Defensible Space,parcel_Water_P,Parcel land cover- percent water,0.112,11181,Parcel,UVM
Exposure,build_near_dest,Distance to nearest destroyed building (ft),5.82,11181,Building,Structure assessment-DINS; Miranda calc'd in Arc
Landscape Attributes,build_p_otherpaved_300,"Percent paved land cover, 300 m around building",5.86,11181,Building,UVM
Landscape Attributes,build_p_building_300,"Percent built land cover, 300 m around building",5.15,11181,Building,UVM
Landscape Attributes,build_p_otherpaved_200,"Percent paved land cover, 200 m around building",4.868,11181,Building,UVM
Landscape Attributes,build_p_building_200,"Percent built land cover, 200 m around building",4.835,11181,Building,UVM
Landscape Attributes,build_p_road_300,"Percent road land cover, 300 m around building",3.938,11181,Building,UVM
Landscape Attributes,build_p_building_100,"Percent built land cover, 100 m around building",3.726,11181,Building,UVM
Landscape Attributes,build_p_grass_300,"Percent grass land cover, 300 m around building",3.487,11181,Building,UVM
Landscape Attributes,build_p_otherpaved_100,"Percent paved land cover, 100 m around building",3.081,11181,Building,UVM
Landscape Attributes,build_p_road_200,"Percent road land cover, 200 m around building",3.031,11181,Building,UVM
Landscape Attributes,build_p_grass_200,"Percent grass land cover, 200 m around building",2.878,11181,Building,UVM
Landscape Attributes,build_p_soil_200,"Percent soil land cover, 200 m around building",2.706,11181,Building,UVM
Landscape Attributes,build_p_tree_100,"Percent tree land cover, 100 m around building",2.475,11181,Building,UVM
Landscape Attributes,build_p_tree_300,"Percent tree land cover, 300 m around building",2.45,11181,Building,UVM
Landscape Attributes,build_p_soil_300,"Percent soil land cover, 300 m around building",2.287,11181,Building,UVM
Landscape Attributes,build_Mean_builddens,Interpolated housing density based on a 1-km search radius NOTE - housing? Structure?,2.281,11093,Point of building,Alex's data D:\ArcGISfiles\2017_LACounty\1_Data_20200320\Data_from_Alex\dens_1kmr_ha
Landscape Attributes,build_p_soil_100,"Percent soil land cover, 100 m around building",2.254,11181,Building,UVM
Landscape Attributes,build_p_tree_200,"Percent tree land cover, 200 m around building",2.234,11181,Building,UVM
Landscape Attributes,build_p_road_100,"Percent road land cover, 100 m around building",2.149,11181,Building,UVM
Landscape Attributes,build_p_grass_100,"Percent grass land cover, 100 m around building",2.052,11181,Building,UVM
Landscape Attributes,build_Mean_distroad,Euclidian distance to major road (UNITS),1.359,11093,Point of building,Alex's data D:\ArcGISfiles\2017_LACounty\1_Data_20200320\Data_from_Alex\dist_psroad
Landscape Attributes,build_p_grass_10,"Percent grass land cover, 10 m around building",1.298,11181,Building,UVM
Landscape Attributes,build_p_shrub_300,"Percent shrub land cover, 300 m around building",1.057,11181,Building,UVM
Landscape Attributes,build_p_tree_10,"Percent tree land cover, 10 m around building",0.774,11181,Building,UVM
Landscape Attributes,build_p_otherpaved_10,"Percent paved land cover, 10 m around building",0.528,11181,Building,UVM
Landscape Attributes,build_p_soil_10,"Percent soil land cover, 10 m around building",0.517,11181,Building,UVM
Landscape Attributes,build_p_shrub_200,"Percent shrub land cover, 200 m around building",0.513,11181,Building,UVM
Landscape Attributes,parcel_area,Parcel area (ft2),0.301,11181,Parcel,UVM
Landscape Attributes,build_p_building_10,"Percent built land cover, 10 m around building",0.196,11181,Building,UVM
