inner_x;inner_y;level_name;class_name;Rel. area of Bare Soil (133);Rel. area of Bare Soil (267);Rel. area of Bare Soil (400);Rel. area of Buildings (13);Rel. area of Buildings (133);Rel. area of Buildings (267);Rel. area of Grass (133);Rel. area of Grass (267);Rel. area of Grass (400);Rel. area of Other Impervious (13);Rel. area of Other Impervious (133);Rel. area of Other Impervious (267);Rel. area of Roads (133);Rel. area of Roads (267);Rel. area of Roads (400);Rel. area of Shrub (133);Rel. area of Shrub (267);Rel. area of Shrub (400);Rel. area of Tree Canopy (133);Rel. area of Tree Canopy (267);Rel. area of Tree Canopy (400);Rel. area of Water (133);Rel. area of Water (267);Rel. area of Water (400);"ID_Parcel"  Parcels;"ID_Build"  Building_Centroids;Rel. area of Grass (13);Rel. area of Tree Canopy (13);Rel. area of Bare Soil (13);Rel. area of Buildings (400);Rel. area of Other Impervious (400);Rel. area of Roads (13);Rel. area of Shrub (13);Rel. area of Water (13)
11882;5270;Level 2;Building Centroid;0.359511123911009;0.354285382540505;0.345150649391991;0;0;0;0.103931168550652;0.0421928868723317;0.0288267173871522;0.0378787878787879;0.031265749874001;0.00835997927868384;0;0;0;0.00163798689610483;0.0162689126667977;0.05209062838225;0.0187558499532004;0.0864579053607474;0.0737887566053352;0;0;0;6497;9897;0.170454545454545;0.450757575757576;0;0;0.00520269625007958;0;0;0
8923;5098;Level 2;Building Centroid;0.0330657354741162;0.0502581232918312;0.0644855796778506;0.0208333333333333;0.285351717186263;0.165877708508244;0.226114191086471;0.230046801593398;0.235056423887439;0;0.0394556843545252;0.112453332380629;0.0158038735690114;0.116450224183205;0.089378939326415;0;0.00150050910130223;0.00155185586044439;0.400172798617611;0.323395437737804;0.338640813013306;0;0;0;8475;9930;0.00189393939393939;0.977272727272727;0;0.177026962500796;0.0938395301457949;0;0;0
9246;4939;Level 2;Building Centroid;0.0532435740514076;0.0766242117861417;0.0501149964983765;0;0.256191950464396;0.183825762312213;0.26578587371301;0.262539968918026;0.278400951804928;0;0.043937648498812;0.0553803969203837;0.00440996472028224;0.0997257998249406;0.0792202521168906;0;0.0034833246994516;0.00155185586044439;0.376394988840089;0.318402672335257;0.317730550073216;0;0;0;12930;9969;0;1;0;0.195145874450882;0.0778136340485134;0;0;0
9297;4598;Level 2;Building Centroid;0.0253257973936209;0.0153400260802772;0.0288505920926975;0.00757575757575758;0.292119663042696;0.176850181311516;0.218338253293974;0.217926617959665;0.240788342777106;0;0.0702354381164951;0.126757292652864;0.0398516811865505;0.132022471910112;0.0939947157318393;0;0;0.00137677468644553;0.354093167254662;0.331085546881978;0.341503788119947;0;0;0;12642;10045;0;0.992424242424242;0;0.19376313108805;0.0996987807983701;0;0;0
938;3673;Level 2;Building Centroid;0.013265893872849;0.0935897893928297;0.127769465843255;0.490530303030303;0.346605227158183;0.242836855361641;0.0884872921016632;0.117839088262089;0.115525721016107;0;0.224314205486356;0.207905360747396;0.0899092807257542;0.148193136957182;0.146375819698224;0;0;0;0.23734610123119;0.189604508672585;0.164425097090469;0;0;0;1150;10279;0;0.509469696969697;0;0.229248901763545;0.216615203412491;0;0;0
10277;3871;Level 2;Building Centroid;0.189610483116135;0.434303603008164;0.425037403705354;0;0.0609475124199006;0.0521292938675622;0.116783065735474;0.100556438791733;0.0976157127395429;0;0.0140038879688962;0.00650667190653972;0;0;0.00232181511428026;0.0326697386420909;0.0166753005484003;0.0435355255618514;0.585985312117503;0.389824226076705;0.336511985102184;0;0;0;13093;10234;0;1;0;0.0698195868084294;0.0251500127331763;0;0;0
7689;4176;Level 2;Building Centroid;0.0879112967096263;0.059922116432361;0.045948860380722;0;0.130606955144359;0.269234204462228;0.239812081503348;0.194499026455405;0.245467785063984;0.0416666666666667;0.039905680754554;0.101690752219503;0;0.0365704435433451;0.0627626217609983;0;0;0;0.501727986176111;0.338052196280881;0.274202982746546;0;0;0;1283;10159;0.00189393939393939;0.956439393939394;0;0.242238731138983;0.129353154644426;0;0;0
2342;2194;Level 2;Building Centroid;0.518791849665203;0.550561797752809;0.431644728465016;0;0.125224998200014;0.0825637269787964;0.10828713370293;0.101409406763009;0.121353138727956;0;0.0566995464036288;0.0401028920526607;0;0.0460692020506958;0.052036910294773;0;0;0;0.190960472316221;0.179275111198442;0.223869134780671;0;0;0;7561;10720;0;1;0;0.1180604189215;0.0530078149869485;0;0;0
1124;1186;Level 2;Building Centroid;0.0465656274749802;0.192270591807935;0.281828961609473;0.534090909090909;0.198250413996688;0.210540183276469;0.0274677802577579;0.0713233061217199;0.0745825905647164;0;0.486914104687163;0.303160893874708;0.0951832385340917;0.0481100730605027;0.031641943082702;0.0156958744330045;0.0596586341794537;0.0707049404724008;0.129832961336309;0.114882728068452;0.12197984974852;0;0;0;7785;10971;0;0.462121212121212;0;0.18437042401477;0.234851499331508;0.00378787878787879;0;0
1152;1094;Level 2;Building Centroid;0.0643674850601195;0.197602758078634;0.301531562360731;0.452651515151515;0.177712578299374;0.204310391025527;0.0146698826409389;0.0626596523820582;0.077045664353473;0;0.513085895312838;0.274182311855808;0.0934732522139823;0.0485343241456923;0.027712564461705;0.00932392540859673;0.0765393615691038;0.0844050423378112;0.127276981784146;0.136122077133313;0.117678423632775;0;0;0;7785;10984;0;0.524621212121212;0;0.183614391672503;0.207974549563889;0.0227272727272727;0;0
