inner_x;inner_y;level_name;class_name;Mean nDSM Tree Canopy Sub-Objects;Rel. area of sub objects Tree Canopy (1);"ID_Build"  Buildings
6622;6942;Level 3;Buildings;8.07363586425781;0.0122850122850123;5894
10058;8527;Level 3;Buildings;undefined;0;5588
7658;5949;Level 3;Buildings;9.55621816597733;0.0325774512935164;6127
7887;6257;Level 3;Buildings;undefined;0;6047
9850;6276;Level 3;Buildings;undefined;0;6042
8336;6413;Level 3;Buildings;undefined;0;6002
5183;7901;Level 3;Buildings;14.9409051127993;0.991053677932406;5717
5258;8392;Level 3;Buildings;10.7346134440104;0.691244239631336;5615
4339;12096;Level 3;Buildings;11.0568058665206;0.105398457583548;5339
3783;12337;Level 3;Buildings;7.59583028157552;0.0162381596752368;5327
3901;12633;Level 3;Buildings;13.9280173194329;0.038054435483871;5308
4937;12717;Level 3;Buildings;11.6211408479946;0.0316668744545568;5305
9108;1052;Level 3;Buildings;undefined;0;6645
9061;6026;Level 3;Buildings;undefined;0;6108
6172;6863;Level 3;Buildings;undefined;0;5909
4975;7512;Level 3;Buildings;undefined;0;5815
5055;7531;Level 3;Buildings;undefined;0;5811
5719;8267;Level 3;Buildings;undefined;0;5635
5994;7664;Level 3;Buildings;undefined;0;5776
5219;7998;Level 3;Buildings;undefined;0;5691
9970;8604;Level 3;Buildings;undefined;0;5575
6806;13559;Level 3;Buildings;undefined;0;5246
6582;14247;Level 3;Buildings;undefined;0;5133
3075;10859;Level 3;Buildings;undefined;0;5400
3059;10870;Level 3;Buildings;undefined;0;5398
3095;10881;Level 3;Buildings;undefined;0;5396
4540;12300;Level 3;Buildings;undefined;0;5330
4731;13785;Level 3;Buildings;7.54069385314256;0.53421368547419;5195
3822;13001;Level 3;Buildings;undefined;0;5291
9094;4870;Level 3;Buildings;undefined;0;6296
8940;4999;Level 3;Buildings;undefined;0;6292
7367;5117;Level 3;Buildings;undefined;0;6287
9339;5159;Level 3;Buildings;undefined;0;6286
9108;5465;Level 3;Buildings;undefined;0;6231
8882;7440;Level 3;Buildings;undefined;0;5824
5877;7474;Level 3;Buildings;undefined;0;5820
8871;7654;Level 3;Buildings;undefined;0;5781
4959;7831;Level 3;Buildings;undefined;0;5738
5917;8478;Level 3;Buildings;undefined;0;5600
5860;8511;Level 3;Buildings;undefined;0;5591
9885;8606;Level 3;Buildings;undefined;0;5574
8153;9906;Level 3;Buildings;undefined;0;5470
12343;10540;Level 3;Buildings;undefined;0;5430
12334;10674;Level 3;Buildings;undefined;0;5418
5465;10783;Level 3;Buildings;undefined;0;5407
5394;10863;Level 3;Buildings;undefined;0;5399
3079;10871;Level 3;Buildings;undefined;0;5397
3155;10958;Level 3;Buildings;undefined;0;5390
12779;11084;Level 3;Buildings;undefined;0;5385
4765;13284;Level 3;Buildings;undefined;0;5277
4947;13285;Level 3;Buildings;undefined;0;5276
3386;13878;Level 3;Buildings;undefined;0;5179
6884;14394;Level 3;Buildings;undefined;0;5117
8374;5076;Level 3;Buildings;21.4053550549684;0.237096774193548;6290
7487;5184;Level 3;Buildings;22.3760160558364;0.0801595937613348;6285
7744;5321;Level 3;Buildings;10.3160461425781;0.01185536455246;6263
8510;5397;Level 3;Buildings;19.1495070684524;0.00780282387911816;6256
7617;5895;Level 3;Buildings;26.4531330413489;1;6139
7705;5892;Level 3;Buildings;23.2479736328125;0.00971502590673575;6140
9216;6212;Level 3;Buildings;7.43917930453431;0.731707317073171;6072
7488;6000;Level 3;Buildings;13.5101860894097;0.0246768507638073;6115
7509;6061;Level 3;Buildings;12.0409555008162;0.128254211332312;6103
7137;6058;Level 3;Buildings;17.3504028320313;0.00397713149391002;6098
9760;6325;Level 3;Buildings;25.2131299785539;0.00670435125542264;6027
9803;6418;Level 3;Buildings;16.2392648890399;0.0471311475409836;6001
6061;7369;Level 3;Buildings;34.4166022964947;0.467536813922356;5837
6218;7464;Level 3;Buildings;22.2741723915056;0.46124547705199;5825
5774;7704;Level 3;Buildings;15.4626884765625;0.142207053469852;5765
5097;7935;Level 3;Buildings;25.6178046332465;0.195652173913043;5709
8208;8082;Level 3;Buildings;25.9014453708769;0.186316626889419;5665
8248;8334;Level 3;Buildings;8.90147489659926;0.0166994106090373;5624
5485;8341;Level 3;Buildings;12.020028921274;0.00206710128796311;5623
5321;8385;Level 3;Buildings;13.4967489437181;0.0424610051993068;5617
5783;8462;Level 3;Buildings;9.64716984675481;0.0231042654028436;5603
5708;8479;Level 3;Buildings;8.82625813802083;0.0426136363636364;5599
4623;8510;Level 3;Buildings;7.90878370331555;0.218472468916519;5593
5845;8539;Level 3;Buildings;21.3882615422628;0.215025906735751;5584
7722;9073;Level 3;Buildings;3.19000244140625;0.00124146492861577;5507
3045;10906;Level 3;Buildings;1.9483642578125;0.005;5393
5472;11127;Level 3;Buildings;22.1614809389468;0.0192444761225944;5382
3280;11234;Level 3;Buildings;17.969970703125;6.64187035069075e-05;5375
4602;12368;Level 3;Buildings;40.2297648278061;0.277463193657984;5325
4596;12459;Level 3;Buildings;25.9035574649341;0.483510011778563;5319
4612;12531;Level 3;Buildings;7.94714936755952;0.02625;5317
4488;12559;Level 3;Buildings;22.1813097261728;0.450561797752809;5315
4354;12125;Level 3;Buildings;21.5332245848495;0.0864758144126357;5337
4407;12325;Level 3;Buildings;20.3455980877544;0.01237766263673;5328
4508;12373;Level 3;Buildings;28.886921290442;0.663671875;5324
4257;12212;Level 3;Buildings;28.6257307225203;0.236683141131247;5333
3968;12307;Level 3;Buildings;17.1388020833333;0.0294290759270159;5329
4345;12624;Level 3;Buildings;25.3407665332714;0.086144578313253;5310
4903;12587;Level 3;Buildings;17.201010909735;0.0975609756097561;5311
3933;12622;Level 3;Buildings;16.9417219490841;0.0189171559034573;5309
4688;13169;Level 3;Buildings;32.4111888138289;0.0514452399893927;5286
4802;13229;Level 3;Buildings;19.0454420402868;0.0884488448844885;5283
4959;13437;Level 3;Buildings;12.6105517407397;0.163055872291904;5261
3896;13249;Level 3;Buildings;6.01664225260417;0.000426803243704652;5281
3093;13560;Level 3;Buildings;28.4778716681985;0.174537987679671;5247
