inner_x;inner_y;level_name;class_name;Distance to Buildings (Pxl);"ID_Build"  Buildings
6811;2908;Level 3;Buildings;151.733058407364;5293
386;3869;Level 3;Buildings;275.18614009166;5168
5553;4294;Level 3;Buildings;1227.06802381634;5121
7681;6331;Level 3;Buildings;499.275076601263;4959
12423;7416;Level 3;Buildings;35.0790852534985;4888
12416;7451;Level 3;Buildings;18.5689045882781;4884
12446;7451;Level 3;Buildings;18.5689045882781;4883
12402;7444;Level 3;Buildings;21.6455029034458;4886
12529;7507;Level 3;Buildings;39.8430039083391;4881
12470;7540;Level 3;Buildings;58.084270867406;4876
12558;7514;Level 3;Buildings;39.8430039083391;4880
4018;3563;Level 3;Buildings;215.180575624985;5236
4268;4415;Level 3;Buildings;121.505627077505;5103
2611;4527;Level 3;Buildings;60.8580059997232;5093
1786;4581;Level 3;Buildings;195.749559860015;5087
8077;6876;Level 3;Buildings;76.8130464975396;4918
13300;7750;Level 3;Buildings;54.1471778251267;4862
10041;2696;Level 3;Buildings;2805.20693378311;5301
2927;2888;Level 3;Buildings;139.329316801544;5294
740;4259;Level 3;Buildings;108.571045892525;5124
1035;4657;Level 3;Buildings;376.089971899553;5078
4339;4516;Level 3;Buildings;121.505627077505;5094
8254;4968;Level 3;Buildings;391.806464274614;5045
6554;5359;Level 3;Buildings;254.733442416521;5004
808;5176;Level 3;Buildings;230.168623926856;5026
6323;5449;Level 3;Buildings;254.733442416521;4998
5291;6038;Level 3;Buildings;545.84068608055;4970
4649;6987;Level 3;Buildings;162.494440020607;4912
4424;7152;Level 3;Buildings;123.31330954081;4901
13528;7726;Level 3;Buildings;87.4003238760211;4864
13242;7750;Level 3;Buildings;54.1471778251267;4863
3074;2643;Level 3;Buildings;249.185542044432;5306
2798;2759;Level 3;Buildings;127.678248348627;5295
1774;3181;Level 3;Buildings;318.811181496115;5282
3736;3210;Level 3;Buildings;227.612030364516;5278
564;3405;Level 3;Buildings;278.7485638721;5255
2810;4101;Level 3;Buildings;110.28166004524;5141
3739;3882;Level 3;Buildings;60.2006593383641;5165
3793;3871;Level 3;Buildings;60.2006593383641;5167
3566;4003;Level 3;Buildings;67.4482869977575;5150
2913;4038;Level 3;Buildings;131.164074096319;5147
3472;4018;Level 3;Buildings;67.4482869977575;5149
3722;4219;Level 3;Buildings;138.966083069111;5126
3276;4068;Level 3;Buildings;232.64881909493;5144
3394;4341;Level 3;Buildings;58.6822465027883;5115
3316;4390;Level 3;Buildings;60.8898099625949;5109
