OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,Buildings_ParcelID_DINS_ID_Build
1,1,3,14.53443287,1,1
2,1,2,22.01640822,2,1
3,1,5,152.2485042,3,1
4,1,4,177.2734864,4,1
5,1,8,287.8699727,5,1
6,2,1,22.01640822,1,2
7,2,3,26.91559872,2,2
8,2,5,161.1829931,3,2
9,2,4,170.0343844,4,2
10,2,8,197.6622544,5,2
11,3,1,14.53443287,1,3
12,3,2,26.91559872,2,3
13,3,5,36.36554668,3,3
14,3,4,65.00272878,4,3
15,3,8,253.6102706,5,3
16,4,5,17.32136996,1,4
17,4,3,65.00272878,2,4
18,4,2,170.0343844,3,4
19,4,1,177.2734864,4,4
20,4,14,189.0858287,5,4
21,5,4,17.32136996,1,5
22,5,3,36.36554668,2,5
23,5,1,152.2485042,3,5
24,5,2,161.1829931,4,5
25,5,14,195.8710226,5,5
26,6,10,138.4593925,1,6
27,6,7,155.7892096,2,6
28,6,9,173.5335612,3,6
29,6,8,178.661228,4,6
30,6,15,227.3317526,5,6
31,7,9,19.6457645,1,7
32,7,11,72.80561875,2,7
33,7,12,138.2121027,3,7
34,7,6,155.7892096,4,7
35,7,16,187.514408,5,7
36,8,13,13.14275526,1,8
37,8,15,42.04581026,2,8
38,8,10,46.74921362,3,8
39,8,17,78.90819655,4,8
40,8,20,84.59546787,5,8
41,9,7,19.6457645,1,9
42,9,11,19.92345861,2,9
43,9,12,95.25830104,3,9
44,9,16,146.4247743,4,9
45,9,6,173.5335612,5,9
46,10,15,44.55271815,1,10
47,10,8,46.74921362,2,10
48,10,13,108.1368419,3,10
49,10,6,138.4593925,4,10
50,10,20,147.3308714,5,10
51,11,9,19.92345861,1,11
52,11,12,32.5304817,2,11
53,11,7,72.80561875,3,11
54,11,16,83.92749458,4,11
55,11,18,131.8198824,5,11
56,12,16,9.625136835,1,12
57,12,11,32.5304817,2,12
58,12,18,76.50722724,3,12
59,12,9,95.25830104,4,12
60,12,19,121.8244773,5,12
61,13,8,13.14275526,1,13
62,13,17,14.19640087,2,13
63,13,20,37.04106656,3,13
64,13,15,47.68679632,4,13
65,13,10,108.1368419,5,13
66,14,17,59.35746132,1,14
67,14,20,130.7609309,2,14
68,14,13,187.2406549,3,14
69,14,4,189.0858287,4,14
70,14,5,195.8710226,5,14
71,15,8,42.04581026,1,15
72,15,10,44.55271815,2,15
73,15,13,47.68679632,3,15
74,15,20,84.12540047,4,15
75,15,17,113.6751782,5,15
76,16,12,9.625136835,1,16
77,16,18,33.52867273,2,16
78,16,19,64.451324,3,16
79,16,11,83.92749458,4,16
80,16,22,127.3128656,5,16
81,17,20,13.6433524,1,17
82,17,13,14.19640087,2,17
83,17,14,59.35746132,3,17
84,17,8,78.90819655,4,17
85,17,21,110.5746834,5,17
86,18,19,11.07726484,1,18
87,18,16,33.52867273,2,18
88,18,22,56.69740459,3,18
89,18,12,76.50722724,4,18
90,18,25,126.43228,5,18
91,19,18,11.07726484,1,19
92,19,16,64.451324,2,19
93,19,22,73.87933858,3,19
94,19,25,87.7437863,4,19
95,19,12,121.8244773,5,19
96,20,21,3.343455904,1,20
97,20,17,13.6433524,2,20
98,20,13,37.04106656,3,20
99,20,23,66.348121,4,20
100,20,15,84.12540047,5,20
101,21,20,3.343455904,1,21
102,21,23,88.91918376,2,21
103,21,17,110.5746834,3,21
104,21,13,141.8751976,4,21
105,21,15,188.8091089,5,21
106,22,18,56.69740459,1,22
107,22,25,62.98574718,2,22
108,22,19,73.87933858,3,22
109,22,16,127.3128656,4,22
110,22,26,128.7630861,5,22
111,23,20,66.348121,1,23
112,23,21,88.91918376,2,23
113,23,15,115.4682739,3,23
114,23,10,159.9918039,4,23
115,23,13,180.269198,5,23
116,24,27,25.79202351,1,24
117,24,31,26.62342244,2,24
118,24,33,88.3453414,3,24
119,24,35,102.048769,4,24
120,24,28,111.3668734,5,24
121,25,22,62.98574718,1,25
122,25,19,87.7437863,2,25
123,25,27,93.04129414,3,25
124,25,30,110.8841657,4,25
125,25,24,119.769994,5,25
126,26,30,35.22713941,1,26
127,26,34,61.58018864,2,26
128,26,22,128.7630861,3,26
129,26,25,134.2431919,4,26
130,26,42,159.0428261,5,26
131,27,24,25.79202351,1,27
132,27,31,64.87397133,2,27
133,27,35,71.1242367,3,27
134,27,33,85.58948866,4,27
135,27,25,93.04129414,5,27
136,28,32,15.47099921,1,28
137,28,31,37.94607294,2,28
138,28,36,85.12895461,3,28
139,28,24,111.3668734,4,28
140,28,33,125.9489996,5,28
141,29,41,117.058892,1,29
142,29,40,206.2172513,2,29
143,29,38,217.3016426,3,29
144,29,14,250.4584664,4,29
145,29,21,251.6717204,5,29
146,30,26,35.22713941,1,30
147,30,34,62.02302814,2,30
148,30,25,110.8841657,3,30
149,30,22,132.5773257,4,30
150,30,42,169.2947121,5,30
151,31,32,3.541871458,1,31
152,31,33,17.98682358,2,31
153,31,24,26.62342244,3,31
154,31,28,37.94607294,4,31
155,31,35,48.85215456,5,31
156,32,31,3.541871458,1,32
157,32,28,15.47099921,2,32
158,32,36,55.28001887,3,32
159,32,33,57.96775621,4,32
160,32,35,74.10676679,5,32
161,33,35,4.4264696,1,33
162,33,31,17.98682358,2,33
163,33,32,57.96775621,3,33
164,33,27,85.58948866,4,33
165,33,24,88.3453414,5,33
166,34,42,35.12562186,1,34
167,34,26,61.58018864,2,34
168,34,30,62.02302814,3,34
169,34,53,99.78709841,4,34
170,34,50,149.6938678,5,34
171,35,33,4.4264696,1,35
172,35,31,48.85215456,2,35
173,35,27,71.1242367,3,35
174,35,32,74.10676679,4,35
175,35,24,102.048769,5,35
176,36,39,6.872787434,1,36
177,36,37,30.68478661,2,36
178,36,46,49.64788729,3,36
179,36,32,55.28001887,4,36
180,36,28,85.12895461,5,36
181,37,39,19.30422683,1,37
182,37,43,21.31967017,2,37
183,37,36,30.68478661,3,37
184,37,46,42.6726948,4,37
185,37,45,71.7387698,5,37
186,38,40,1.627418303,1,38
187,38,44,19.44696511,2,38
188,38,41,69.8257308,3,38
189,38,48,95.84101561,4,38
190,38,56,127.8368868,5,38
191,39,36,6.872787434,1,39
192,39,46,17.93765201,2,39
193,39,37,19.30422683,3,39
194,39,43,84.98223506,4,39
195,39,47,109.7233555,5,39
196,40,38,1.627418303,1,40
197,40,41,44.03462281,2,40
198,40,44,80.79624176,3,40
199,40,51,114.7194777,4,40
200,40,56,115.2409297,5,40
201,41,40,44.03462281,1,41
202,41,38,69.8257308,2,41
