OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,Buildings_ParcelID_DINS_ID_Build
1,1,2,848.3435413,1,1
2,1,1,859.0539243,2,1
3,1,3,1030.147299,3,1
4,1,4,1123.280536,4,1
5,1,6,1472.590308,5,1
6,2,2,789.0814453,1,2
7,2,1,811.7864452,2,2
8,2,3,984.8162012,3,2
9,2,4,1082.270599,4,2
10,2,6,1439.33223,5,2
11,3,1,773.7505634,1,3
12,3,2,775.1959032,2,3
13,3,3,940.9407796,3,3
14,3,4,1029.264726,4,3
15,3,6,1371.600428,5,3
16,4,1,685.3244771,1,4
17,4,2,692.9293763,2,4
18,4,3,850.0542695,3,4
19,4,4,936.817516,4,4
20,4,6,1277.564729,5,4
21,5,1,697.1013071,1,5
22,5,2,718.2887315,2,5
23,5,3,856.0059079,3,5
24,5,4,936.8689258,4,5
25,5,6,1267.148291,5,5
26,6,2,685.4485768,1,6
27,6,1,743.3097794,2,6
28,6,3,913.0146735,3,6
29,6,4,1022.442699,4,6
30,6,6,1399.656587,5,6
31,7,2,675.3241592,1,7
32,7,1,745.0684723,2,7
33,7,3,903.4587889,3,7
34,7,4,1018.16623,4,7
35,7,6,1394.560794,5,7
36,8,2,504.0019536,1,8
37,8,1,539.352875,2,8
38,8,3,711.7168211,3,8
39,8,4,814.1413385,4,8
40,8,6,1183.849494,5,8
41,9,2,616.4388447,1,9
42,9,1,688.8699817,2,9
43,9,3,844.1855627,3,9
44,9,4,959.7488107,4,9
45,9,6,1334.901455,5,9
46,10,2,487.905637,1,10
47,10,1,542.654661,2,10
48,10,3,713.662665,3,10
49,10,4,821.9020336,4,10
50,10,6,1198.721585,5,10
51,11,2,609.5158541,1,11
52,11,1,689.2453366,2,11
53,11,3,839.4759412,3,11
54,11,4,955.9452998,4,11
55,11,6,1328.451072,5,11
56,12,2,672.7476105,1,12
57,12,1,762.4968803,2,12
58,12,3,904.8811521,3,12
59,12,4,1021.716894,4,12
60,12,14,1353.515459,5,12
61,13,2,449.5969385,1,13
62,13,1,475.967083,2,13
63,13,3,649.1475362,3,13
64,13,4,749.6517853,4,13
65,13,6,1117.010011,5,13
66,14,1,475.728843,1,14
67,14,2,502.9410648,2,14
68,14,3,635.4114137,3,14
69,14,4,718.9422197,4,14
70,14,6,1057.996961,5,14
71,15,2,438.6092306,1,15
72,15,1,488.4903611,2,15
73,15,3,660.2932612,3,15
74,15,4,767.3926976,4,15
75,15,6,1143.180246,5,15
76,16,2,697.7463946,1,16
77,16,1,793.9680928,2,16
78,16,3,929.761489,3,16
79,16,4,1046.076898,4,16
80,16,14,1333.451894,5,16
81,17,2,422.9073417,1,17
82,17,1,425.7556632,2,17
83,17,3,596.3524539,3,17
84,17,4,690.179624,4,17
85,17,6,1046.255822,5,17
86,18,2,640.9263452,1,18
87,18,1,741.9844842,2,18
88,18,3,871.346279,3,18
89,18,4,987.3911284,4,18
90,18,14,1258.073313,5,18
91,19,2,658.1188478,1,19
92,19,1,763.4195965,2,19
93,19,3,885.1184833,3,19
94,19,4,1000.494403,4,19
95,19,20,1224.025651,5,19
96,20,2,307.8492929,1,20
97,20,1,321.9448135,2,20
98,20,3,495.217809,3,20
99,20,4,594.6609485,4,20
100,20,6,961.8378419,5,20
101,21,2,266.2599202,1,21
102,21,1,286.8787387,2,21
103,21,3,459.8486662,3,21
104,21,4,561.3494452,4,21
105,21,6,931.658265,5,21
106,22,2,547.6508702,1,22
107,22,1,652.5437465,2,22
108,22,3,775.6091538,3,22
