OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,Buildings_ParcelID_DINS_ID_Build
1,1,2,848.3435413,1,1
2,1,1,859.0539243,2,1
3,2,2,789.0814453,1,2
4,2,1,811.7864452,2,2
5,3,1,773.7505634,1,3
6,3,2,775.1959032,2,3
7,4,1,685.3244771,1,4
8,4,2,692.9293763,2,4
9,5,1,697.1013071,1,5
10,5,2,718.2887315,2,5
11,6,2,685.4485768,1,6
12,6,1,743.3097794,2,6
13,7,2,675.3241592,1,7
14,7,1,745.0684723,2,7
15,8,2,504.0019536,1,8
16,8,1,539.352875,2,8
17,9,2,616.4388447,1,9
18,9,1,688.8699817,2,9
19,10,2,487.905637,1,10
20,10,1,542.654661,2,10
21,11,2,609.5158541,1,11
22,11,1,689.2453366,2,11
23,12,2,672.7476105,1,12
24,12,1,762.4968803,2,12
25,13,2,449.5969385,1,13
26,13,1,475.967083,2,13
27,14,1,475.728843,1,14
28,14,2,502.9410648,2,14
29,15,2,438.6092306,1,15
30,15,1,488.4903611,2,15
31,16,2,697.7463946,1,16
32,16,1,793.9680928,2,16
33,17,2,422.9073417,1,17
34,17,1,425.7556632,2,17
35,18,2,640.9263452,1,18
36,18,1,741.9844842,2,18
37,19,2,658.1188478,1,19
38,19,1,763.4195965,2,19
39,20,2,307.8492929,1,20
40,20,1,321.9448135,2,20
41,21,2,266.2599202,1,21
42,21,1,286.8787387,2,21
43,22,2,547.6508702,1,22
44,22,1,652.5437465,2,22
45,23,2,205.9030663,1,23
46,23,1,270.7482774,2,23
47,24,2,724.0919414,1,24
48,24,1,838.9062812,2,24
49,25,2,541.4074457,1,25
50,25,1,653.8040577,2,25
51,26,2,311.2229197,1,26
52,26,1,416.6115008,2,26
53,27,2,672.6591216,1,27
54,27,1,791.4397598,2,27
55,28,2,865.1249455,1,28
56,28,5,908.1584012,2,28
57,29,1,217.3016426,1,29
58,29,2,308.4038052,2,29
59,30,2,378.6658039,1,30
60,30,1,491.6719862,2,30
61,31,2,762.4167159,1,31
62,31,1,882.3215946,2,31
63,32,2,807.5585704,1,32
64,32,5,879.7289599,2,32
65,33,2,712.0672564,1,33
66,33,1,833.7236316,2,33
67,34,2,258.168044,1,34
68,34,1,378.0604574,2,34
69,35,2,656.9774156,1,35
70,35,1,778.8453691,2,35
71,36,5,729.3518845,1,36
72,36,12,807.8464146,2,36
73,37,5,646.5282765,1,37
74,37,12,813.2741608,2,37
75,38,1,0,1,38
76,38,2,19.44696511,2,38
77,39,5,697.2520249,1,39
78,39,12,789.7192181,2,39
79,40,1,1.627418303,1,40
80,40,2,80.79624176,2,40
81,41,1,69.8257308,1,41
82,41,3,131.1701197,2,41
83,42,2,229.111222,1,42
84,42,1,350.8544205,2,42
85,43,5,589.735346,1,43
86,43,12,785.6288748,2,43
87,44,2,0,1,44
88,44,1,19.44696511,2,44
89,45,5,529.0919225,1,45
90,45,12,788.0227793,2,45
91,46,5,631.7672418,1,46
92,46,12,740.9313191,2,46
93,47,12,725.9206898,1,47
94,47,5,766.8179293,2,47
95,48,2,44.21206351,1,48
96,48,1,95.84101561,2,48
97,49,5,527.2150883,1,49
98,49,12,721.5711153,2,49
99,50,2,218.0370825,1,50
100,50,1,326.0447635,2,50
101,51,3,7.407894499,1,51
102,51,4,66.24234245,2,51
103,52,5,403.4697393,1,52
104,52,19,684.214784,2,52
105,53,2,271.488364,1,53
106,53,1,389.8330286,2,53
107,54,2,193.4028424,1,54
108,54,3,240.7519445,2,54
