Variable,Importance,Model,n_tree
build_near_dest,100,cf_no_dins,2000
build_area,11.682286018598289,cf_no_dins,2000
build_p_building_300,9.924737874236639,cf_no_dins,2000
build_Mean_distroad,9.816017491755106,cf_no_dins,2000
build_Mean_elev_100m,9.774326383339618,cf_no_dins,2000
parcel_Can_P,9.426048713022503,cf_no_dins,2000
build_Mean_elev_30m,8.840055975673655,cf_no_dins,2000
build_p_building_200,8.785940639803593,cf_no_dins,2000
parcel_Build_P,8.660677032204415,cf_no_dins,2000
build_Mean_slope_100m_DEM,8.08163191220898,cf_no_dins,2000
build_p_building_100,7.577612820181141,cf_no_dins,2000
build_p_otherpaved_300,7.446020654295765,cf_no_dins,2000
build_Mean_builddens,6.597606282300837,cf_no_dins,2000
build_p_tree_300,5.9532965559708115,cf_no_dins,2000
build_p_grass_300,5.902492982883189,cf_no_dins,2000
parcel_Grass_P,5.661442215778518,cf_no_dins,2000
build_p_otherpaved_200,5.577580212144251,cf_no_dins,2000
parcel_Paved_P,5.377073226812708,cf_no_dins,2000
build_p_soil_200,5.25499772512207,cf_no_dins,2000
build_p_tree_100,5.1089965330885,cf_no_dins,2000
build_p_road_300,5.080660388025404,cf_no_dins,2000
build_Mean_slope_30m_DEM,4.89941602254564,cf_no_dins,2000
build_p_tree_200,4.738111321942949,cf_no_dins,2000
build_p_soil_300,4.666765432913522,cf_no_dins,2000
parcel_Road_P,4.666629499594961,cf_no_dins,2000
parcel_area,4.570958990552797,cf_no_dins,2000
parcel_Shrub_P,4.3779365825298395,cf_no_dins,2000
build_Mean_aspect_100m_DEM,4.369667707393858,cf_no_dins,2000
build_p_grass_200,3.55272203251717,cf_no_dins,2000
build_p_soil_100,3.451239699506973,cf_no_dins,2000
parcel_Soil_P,3.255459029593126,cf_no_dins,2000
parcel_year_built,3.2063877937380254,cf_no_dins,2000
build_p_otherpaved_100,3.047953799361404,cf_no_dins,2000
build_p_road_200,2.883242073304905,cf_no_dins,2000
build_near_build,2.716791158337164,cf_no_dins,2000
parcel_Water_P,2.457413625685379,cf_no_dins,2000
build_overhang_ht,2.4253069948253216,cf_no_dins,2000
build_p_grass_100,2.383740083216166,cf_no_dins,2000
build_min_dist_shrub,2.3643591440730214,cf_no_dins,2000
build_p_shrub_300,2.253005503887957,cf_no_dins,2000
build_p_shrub_200,2.029697061678249,cf_no_dins,2000
build_perc_overhang,1.9446667616231392,cf_no_dins,2000
build_p_road_100,1.9339534969697254,cf_no_dins,2000
build_p_shrub_100,1.8062551197790606,cf_no_dins,2000
build_Mean_aspect_30m_DEM,1.6880292020333982,cf_no_dins,2000
build_has_tree_overhang,1.3534470035791346,cf_no_dins,2000
build_Mean_distall_road,1.3406308064634025,cf_no_dins,2000
build_p_tree_10,1.3299751820611554,cf_no_dins,2000
build_p_building_10,1.3289870581430097,cf_no_dins,2000
build_min_dist_tree,1.04767451563676,cf_no_dins,2000
build_p_otherpaved_10,0.9674991053991684,cf_no_dins,2000
build_p_grass_10,0.7898384275788891,cf_no_dins,2000
build_p_soil_10,0.6867993274333482,cf_no_dins,2000
build_p_water_300,0.6114418681810166,cf_no_dins,2000
build_p_road_10,0.3802789178521798,cf_no_dins,2000
build_p_water_200,0.2746379849243382,cf_no_dins,2000
build_p_water_100,0.1395400010279909,cf_no_dins,2000
build_p_shrub_10,0.058427899307363515,cf_no_dins,2000
build_p_water_10,0,cf_no_dins,2000
build_WINDOWPANE,100,cf_dins,2000
build_EAVES,76.62049622581665,cf_dins,2000
build_near_dest,61.57012747906925,cf_dins,2000
build_VENTSCREEN,28.376480442356655,cf_dins,2000
build_p_otherpaved_200,26.111887186978695,cf_dins,2000
build_p_otherpaved_300,22.644526720839394,cf_dins,2000
build_ROOFCONSTR,18.767961559062414,cf_dins,2000
build_Mean_distroad,18.562376132902134,cf_dins,2000
build_FENCEATTAC,17.04876938389183,cf_dins,2000
build_min_dist_shrub,15.56588981824657,cf_dins,2000
build_Mean_elev_100m,15.22823800938694,cf_dins,2000
build_Mean_builddens,13.88497561179604,cf_dins,2000
build_area,13.684392134936843,cf_dins,2000
build_p_tree_300,12.507816542435544,cf_dins,2000
build_Mean_elev_30m,12.114890157499921,cf_dins,2000
parcel_Paved_P,11.551405683841917,cf_dins,2000
build_p_building_300,10.942902841278281,cf_dins,2000
build_p_grass_100,9.273984288538719,cf_dins,2000
parcel_year_built,9.112320403554925,cf_dins,2000
build_p_tree_200,8.860181975029398,cf_dins,2000
build_DECKPORCHO,8.524108812600431,cf_dins,2000
build_p_otherpaved_100,8.300294249502716,cf_dins,2000
build_p_building_200,8.101416256363597,cf_dins,2000
parcel_Can_P,7.981333301713951,cf_dins,2000
build_PATIOCOVER,7.696116735134365,cf_dins,2000
build_p_building_100,7.149212195507683,cf_dins,2000
parcel_Build_P,6.30995276191028,cf_dins,2000
build_p_tree_100,5.8941384756484325,cf_dins,2000
build_p_grass_10,5.466580321528964,cf_dins,2000
build_p_shrub_300,5.210224436001735,cf_dins,2000
parcel_area,5.077613809416268,cf_dins,2000
build_Mean_slope_100m_DEM,5.062070187182617,cf_dins,2000
build_VEGCLEARAN,5.047073105833435,cf_dins,2000
parcel_Road_P,4.662599216305702,cf_dins,2000
parcel_Grass_P,4.60404694734341,cf_dins,2000
build_p_grass_200,4.405771656794929,cf_dins,2000
build_PROPANETAN,4.322037717398086,cf_dins,2000
parcel_Soil_P,4.164885827931008,cf_dins,2000
build_Mean_aspect_100m_DEM,4.128839530953605,cf_dins,2000
build_p_shrub_200,4.07403349880436,cf_dins,2000
build_p_grass_300,4.024893339663036,cf_dins,2000
build_p_road_200,3.977504800540943,cf_dins,2000
build_p_tree_10,3.8726899393602063,cf_dins,2000
build_p_road_300,3.438867894205129,cf_dins,2000
build_EXTERIORSI,3.268932311209617,cf_dins,2000
build_p_soil_300,3.243291853706932,cf_dins,2000
build_Mean_slope_30m_DEM,3.1004583682248,cf_dins,2000
build_p_soil_200,3.064384304111733,cf_dins,2000
build_p_soil_100,3.000133639221042,cf_dins,2000
build_near_build,2.643605479799085,cf_dins,2000
parcel_Shrub_P,2.351380410380859,cf_dins,2000
build_p_water_300,2.2244084253015997,cf_dins,2000
build_p_shrub_100,2.125184142159131,cf_dins,2000
build_p_road_100,1.9656279539077184,cf_dins,2000
build_perc_overhang,1.8862607988645232,cf_dins,2000
build_p_building_10,1.875939443560485,cf_dins,2000
parcel_Water_P,1.4711148500627214,cf_dins,2000
build_has_tree_overhang,1.3544232619049716,cf_dins,2000
build_p_otherpaved_10,1.1052412241820022,cf_dins,2000
build_p_road_10,1.087098305248363,cf_dins,2000
build_Mean_distall_road,0.9514863389604957,cf_dins,2000
build_p_soil_10,0.9412614713518282,cf_dins,2000
build_Mean_aspect_30m_DEM,0.5547611217203404,cf_dins,2000
build_overhang_ht,0.4039438480378842,cf_dins,2000
build_p_shrub_10,0.1514049136622198,cf_dins,2000
build_p_water_10,0,cf_dins,2000
build_p_water_100,-0.012374323843513698,cf_dins,2000
build_min_dist_tree,-0.0874710200430164,cf_dins,2000
build_p_water_200,-0.14318259733859912,cf_dins,2000
build_WINDOWPANE,100,cf_dins_binary,2000
build_EAVES,69.78393037316147,cf_dins_binary,2000
build_near_dest,65.4539104924563,cf_dins_binary,2000
build_p_otherpaved_200,33.28560634606187,cf_dins_binary,2000
build_VENTSCREEN,29.203745970273363,cf_dins_binary,2000
build_p_otherpaved_300,25.43012849152953,cf_dins_binary,2000
build_Mean_distroad,22.822806091924043,cf_dins_binary,2000
build_area,22.010061011717514,cf_dins_binary,2000
build_min_dist_shrub,21.189241984239786,cf_dins_binary,2000
build_Mean_elev_30m,19.133004614422447,cf_dins_binary,2000
build_ROOFCONSTR,18.73138600047212,cf_dins_binary,2000
build_Mean_elev_100m,16.78959331883422,cf_dins_binary,2000
build_Mean_builddens,16.603441114371908,cf_dins_binary,2000
build_FENCEATTAC,16.383975512595057,cf_dins_binary,2000
build_p_building_300,15.034294967448444,cf_dins_binary,2000
build_p_tree_300,14.833873716796866,cf_dins_binary,2000
build_PATIOCOVER,13.37526005369394,cf_dins_binary,2000
build_p_grass_100,13.258199086120982,cf_dins_binary,2000
build_p_building_200,12.958134540139582,cf_dins_binary,2000
build_p_tree_200,12.555782398336602,cf_dins_binary,2000
parcel_Paved_P,12.226950161803028,cf_dins_binary,2000
build_p_tree_100,9.381168356787935,cf_dins_binary,2000
build_p_building_100,9.267067387966005,cf_dins_binary,2000
parcel_year_built,8.908571207649429,cf_dins_binary,2000
parcel_Can_P,8.759333732994262,cf_dins_binary,2000
parcel_Build_P,8.038032745721363,cf_dins_binary,2000
parcel_area,7.945376162547127,cf_dins_binary,2000
build_p_shrub_300,7.9266632531836425,cf_dins_binary,2000
build_p_otherpaved_100,7.2309200308442625,cf_dins_binary,2000
parcel_Grass_P,6.972134815080398,cf_dins_binary,2000
build_DECKPORCHO,6.709065841533063,cf_dins_binary,2000
parcel_Road_P,6.517481040778319,cf_dins_binary,2000
build_p_shrub_200,6.439349227959617,cf_dins_binary,2000
build_p_grass_300,6.355168684530342,cf_dins_binary,2000
build_Mean_slope_100m_DEM,6.132459506933282,cf_dins_binary,2000
parcel_Soil_P,6.04447505599111,cf_dins_binary,2000
build_p_soil_300,5.404107426780127,cf_dins_binary,2000
build_p_soil_200,5.282105606314587,cf_dins_binary,2000
build_Mean_aspect_100m_DEM,5.233453178326839,cf_dins_binary,2000
build_p_soil_100,4.983059011947706,cf_dins_binary,2000
build_p_grass_10,4.947321840882403,cf_dins_binary,2000
build_VEGCLEARAN,4.875841137234536,cf_dins_binary,2000
build_PROPANETAN,4.530761882300328,cf_dins_binary,2000
build_p_grass_200,4.487712663477849,cf_dins_binary,2000
parcel_Shrub_P,4.359337521720225,cf_dins_binary,2000
build_EXTERIORSI,4.2948948473988775,cf_dins_binary,2000
build_Mean_slope_30m_DEM,4.2828428850671685,cf_dins_binary,2000
build_p_shrub_100,3.7275609476687093,cf_dins_binary,2000
build_p_road_200,3.52997412889735,cf_dins_binary,2000
build_p_road_300,3.5262215507623704,cf_dins_binary,2000
build_p_building_10,3.2329727810333075,cf_dins_binary,2000
build_p_road_100,3.194873692875302,cf_dins_binary,2000
build_near_build,3.048226014827782,cf_dins_binary,2000
build_Mean_aspect_30m_DEM,2.849782422687069,cf_dins_binary,2000
build_p_tree_10,2.340477232753679,cf_dins_binary,2000
build_has_tree_overhang,2.2310748543750742,cf_dins_binary,2000
build_p_water_300,2.0238201049891806,cf_dins_binary,2000
parcel_Water_P,1.897545477214892,cf_dins_binary,2000
build_perc_overhang,1.3661690948443506,cf_dins_binary,2000
build_p_otherpaved_10,1.2883368741071417,cf_dins_binary,2000
build_p_road_10,1.0590076787064917,cf_dins_binary,2000
build_min_dist_tree,0.9340910155441702,cf_dins_binary,2000
build_Mean_distall_road,0.5145440146629288,cf_dins_binary,2000
build_overhang_ht,0.26938415199183124,cf_dins_binary,2000
build_p_water_200,0.1668167644185025,cf_dins_binary,2000
build_p_water_100,0.08194234097925054,cf_dins_binary,2000
build_p_shrub_10,0.030143043244560828,cf_dins_binary,2000
build_p_water_10,0,cf_dins_binary,2000
build_p_soil_10,-0.23420736361174466,cf_dins_binary,2000
