var1,var2,value
build_Mean_elev_100m,build_Mean_elev_30m,0.9995513307053193
build_Mean_elev_30m,build_Mean_elev_100m,0.9995513307053193
damage_binary,damage_severity,0.9912241029285696
damage_severity,damage_binary,0.9912241029285696
build_p_building_200,build_p_building_300,0.9578187526992721
build_p_building_300,build_p_building_200,0.9578187526992721
build_p_water_200,build_p_water_300,0.954547275829038
build_p_water_300,build_p_water_200,0.954547275829038
build_p_tree_200,build_p_tree_300,0.9508988348764045
build_p_tree_300,build_p_tree_200,0.9508988348764045
build_p_soil_200,build_p_soil_300,0.9483226427528098
build_p_soil_300,build_p_soil_200,0.9483226427528098
build_p_otherpaved_200,build_p_otherpaved_300,0.9426771642970961
build_p_otherpaved_300,build_p_otherpaved_200,0.9426771642970961
build_p_grass_200,build_p_grass_300,0.9409983430812664
build_p_grass_300,build_p_grass_200,0.9409983430812664
build_p_shrub_200,build_p_shrub_300,0.9301188490074608
build_p_shrub_300,build_p_shrub_200,0.9301188490074608
build_p_road_200,build_p_road_300,0.9098211735798839
build_p_road_300,build_p_road_200,0.9098211735798839
build_p_tree_100,build_p_tree_200,0.9005408953259734
build_p_tree_200,build_p_tree_100,0.9005408953259734
build_p_soil_100,build_p_soil_200,0.8944539330531561
build_p_soil_200,build_p_soil_100,0.8944539330531561
build_p_otherpaved_100,build_p_otherpaved_200,0.883051956511399
build_p_otherpaved_200,build_p_otherpaved_100,0.883051956511399
build_p_building_100,build_p_building_200,0.8709841108158922
build_p_building_200,build_p_building_100,0.8709841108158922
build_p_grass_100,build_p_grass_200,0.8576047754585734
build_p_grass_200,build_p_grass_100,0.8576047754585734
build_p_shrub_100,build_p_shrub_200,0.8417753757858422
build_p_shrub_200,build_p_shrub_100,0.8417753757858422
build_p_water_100,build_p_water_200,0.8346020797942485
build_p_water_200,build_p_water_100,0.8346020797942485
build_Mean_aspect_100m_DEM,build_Mean_aspect_30m_DEM,0.8269911871068595
build_Mean_aspect_30m_DEM,build_Mean_aspect_100m_DEM,0.8269911871068595
build_p_tree_100,build_p_tree_300,0.8073866572313209
build_p_tree_300,build_p_tree_100,0.8073866572313209
build_p_building_100,build_p_building_300,0.8073692663437263
build_p_building_300,build_p_building_100,0.8073692663437263
build_p_road_100,build_p_road_200,0.8008651035797087
build_p_road_200,build_p_road_100,0.8008651035797087
build_p_soil_100,build_p_soil_300,0.7856663550979912
build_p_soil_300,build_p_soil_100,0.7856663550979912
build_p_otherpaved_100,build_p_otherpaved_300,0.7810371185467757
build_p_otherpaved_300,build_p_otherpaved_100,0.7810371185467757
build_p_grass_100,build_p_grass_300,0.7456992992095867
build_p_grass_300,build_p_grass_100,0.7456992992095867
parcel_Can_P,build_p_tree_100,0.728835916536056
