"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"ID_Build",1,11134,5571.3909646129,3216.49286544607,5573.5,5571.61360574764,4129.7823,1,11140,11139,-0.000631805997672255,-1.20067273111131,30.4829493127282
"ID_Parcel",2,11134,5979.95958325849,3951.82967944052,5432,5858.28154467894,4972.6404,4,13396,13392,0.212853842306502,-1.17699489168037,37.451792635708
"Mean_elev_30m",3,11134,723.026675575694,462.75306447308,793.261041000794,693.297982005795,410.286599852,12.0748194976372,2817.76902597728,2805.69420647964,0.48071382176855,0.415949026254331,4.3855462451605
"Mean_elev_100m",4,11134,722.524599207435,461.784855330638,794.580316883748,692.580594968083,404.166703434774,11.4675315185604,2769.59111448763,2758.12358296907,0.4681808737516,0.357750101205389,4.37637045293965
"Mean_slope_30m_DEM",5,11134,9.95722643454724,5.65462078747767,9.00485116890267,9.49679005037658,5.77072132706699,0.854694336785586,34.3650146102191,33.5103202734335,0.717888535572693,0.0890168453044105,0.053589274423426
"Mean_slope_100m_DEM",6,11134,11.8281011668006,5.69105485776103,10.9720477655981,11.4336984512484,5.77318581711752,1.27897053105001,34.8242469968575,33.5452764658074,0.606410063751474,-0.125419421137771,0.0539345628988444
"Mean_aspect_30m_DEM",7,11134,180.75866971403,47.3001038646246,183.253348952783,181.474325414985,49.8881098384665,41.0104053168373,322.873545124703,281.863139807865,-0.147973461233572,-0.341307546337076,0.448266708153314
"Mean_aspect_100m_DEM",8,11134,181.021044470396,36.4090214289021,182.134986212488,181.396361944156,39.1522608985425,58.7636971750427,295.160446265079,236.396749090036,-0.104890482960194,-0.310038484900543,0.345051085505624
"Mean_distroad",9,11046,821.160796338432,730.03847316195,600.74951171875,720.459231133406,668.281226074219,0,3666.89845034951,3666.89845034951,1.08877312090189,0.569369712346731,6.94613514382157
"Mean_builddens",10,11046,1.53744680866859,0.969812706727176,1.41819103138732,1.47534253683035,1.09651493760838,0.00318309897556901,4.4140156397694,4.41083254079383,0.493077868310302,-0.654362544174697,0.00922752755200062
"Mean_distall_road",11,11122,28.2165995438441,27.1715644306616,28.6649191786806,24.2441474332417,20.4027816368453,0,430.680746598677,430.680746598677,2.45086306324253,13.2389428538181,0.257645878007738
"structures_DAMAGE*",12,1489,1.96910678307589,0.46704495421935,2,1.99664710813076,0,1,4,3,1.24015943385413,7.66203747401967,0.0121035100632313
"NEAR_FID",13,11134,5622.99254535657,3237.83374206768,5629.5,5626.34339919174,4157.9517,1,11211,11210,-0.00691184632573625,-1.20158289247842,30.6851984354713
"NEAR_DIST",14,11134,42.3371537533753,104.217583474974,16.2191881079389,24.1073700033973,15.4235324450866,0,3916.03474191292,3916.03474191292,14.2330618853514,368.110400841647,0.987678023070035
"NEAR_ANGLE",15,11134,4.15120443770371,104.126896059619,0,4.5047078271068,132.934766620739,-179.989106927414,180,359.989106927414,-0.00845986987235929,-1.14231840334617,0.986818571486831
"Shape_Length",16,11134,234.49913644135,139.983434998969,216.376339850255,218.412672591108,113.145572312212,0.145405734211184,3246.95957336583,3246.81416763162,3.91365742370433,48.2941213906757,1.32663373811133
"Shape_Area",17,11134,2800.23295504365,3617.88177013243,2263.18557476715,2344.10042957436,1885.02530229776,0.000906318548034246,115867.768686409,115867.767780091,10.9563340853044,209.730667877009,34.2869427142647
"damage_cat*",18,11134,1.88297107957607,0.32146918033785,2,1.97867085765604,0,1,2,1,-2.38241614722341,3.6762369038985,0.00304658805095282
"damage_binary",19,11134,0.117028920423927,0.32146918033785,0,0.0213291423439605,0,0,1,1,2.38241614722341,3.6762369038985,0.00304658805095282
"damage_severity",20,11134,1.48446200826298,1.28057897254872,1,1.10574764256848,0,1,5,4,2.33561031269776,3.52820090156292,0.012136145032529
