polygon_id,a_tree,a_grass,a_soil,a_water,a_building,a_road,a_otherpaved,a_shrub,a_total,p_tree,p_grass,p_soil,p_water,p_building,p_road,p_otherpaved,p_shrub,Impervious Surface (%)
1,2929.5,7791.1875,1485.5625,0,4859.4375,3330.5625,2717.4375,0,23113.6875,12.67430824268088,33.70811126524057,6.427198169915553,0,21.024068530821836,14.409481394952667,11.756832396388504,0,47.190382322163
2,1791,12696.1875,8938.125,0,3179.8125,1410.75,2291.0625,0,30306.9375,5.909538038939104,41.89201729801964,29.492009873976876,0,10.49202843408378,4.654874812078917,7.559531542901688,0,22.706434789064385
3,7846.3125,18640.6875,4759.875,0,5400.5625,4609.125,4123.125,0,45379.6875,17.290362565850636,41.077161450263404,10.488999070343972,0,11.900836690424544,10.156801983266192,9.085838239851254,0,31.14347691354199
4,3126.9375,8874,16198.3125,0,4120.3125,0,3514.5,0,35834.0625,8.726159642100306,24.76414724118986,45.203673181068986,0,11.498312534337964,0,9.80770740130288,0,21.306019935640844
5,5050.125,9605.8125,10159.3125,0,2769.1875,1313.4375,5533.875,0,34431.75,14.667058746650982,27.89812455074168,29.505652486440564,0,8.042540678298373,3.8146115140822063,16.072012023786186,0,27.929164216166765
6,8296.875,779.0625,954,0,0,6632.4375,75.375,0,16737.75,49.569834655195585,4.6545234574539585,5.699690818658422,0,0,39.625621723349916,0.45032934534211583,0,40.07595106869203
7,7689.9375,2837.8125,865.6875,0,3585.9375,545.625,2635.875,0,18160.875,42.34343058910983,15.625967911788392,4.7667719754692435,0,19.745400483181566,3.00439819116645,14.51403084928452,0,37.26382952363254
8,16077.9375,12903.1875,13780.125,0,5771.8125,0,14138.4375,0,62671.5,25.654304588209953,20.588604868241546,21.987865297623323,0,9.209628778631435,0,22.559596467293748,0,31.76922524592518
9,12913.3125,6766.875,2121.1875,0,2332.6875,5444.4375,2653.875,0,32232.375,40.063174060242225,20.99403162193292,6.580922131862763,0,7.237094691284772,16.89120798575966,8.233569508917665,0,32.36187218596209
10,15933.9375,9164.8125,6307.875,0,3838.5,5727.375,12825,0,53797.5,29.618360518611457,17.035759096612296,11.725219573400251,0,7.135089920535341,10.646173149309913,23.83939774153074,0,41.62066081137599
11,14784.75,8325.5625,2508.75,0,2621.25,2702.8125,3321.5625,0,34264.6875,43.14864975785932,24.29779200525322,7.3216777476811945,0,7.650004104079455,7.888040712468193,9.693835672658622,0,25.231880489206272
12,10351.6875,5943.375,860.0625,0,3489.1875,0,2725.875,0,23370.1875,44.29441355573206,25.431439093075316,3.6801694466507806,0,14.930079187426287,0,11.663898717115556,0,26.593977904541845
13,10915.875,11678.0625,1419.1875,0,12812.0625,0,10468.125,0,47293.3125,23.08122316448018,24.692841086147222,3.0008206762848344,0,27.09064310096697,0,22.134471972120796,0,49.225115073087764
14,8170.875,7999.875,14649.75,0,1721.25,0,3371.0625,0,35912.8125,22.75197744537552,22.27582426188425,40.79254444357428,0,4.792857702247631,0,9.386796146918318,0,14.179653849165948
15,9371.25,10531.6875,3922.3125,0,8622.5625,0,14020.875,0,46468.6875,20.16680587330985,22.664052002759924,8.440764547094211,0,18.555640290034013,0,30.172737286801997,0,48.72837757683601
16,8854.3125,5553.5625,692.4375,0,5573.25,0,2162.25,0,22835.8125,38.77380101977978,24.319530999827574,3.0322437618543243,0,24.405744266817745,0,9.46867995172057,0,33.874424218538316
17,16002,17909.4375,18528.1875,0,9661.5,0,6939.5625,0,69040.6875,23.17763709986231,25.940410138586756,26.836620796975698,0,13.993922062262198,0,10.051409902313038,0,24.045331964575237
18,16705.125,10013.0625,3677.0625,0,5146.875,0,3022.875,0,38565,43.316802800466746,25.96411901983664,9.534714119019837,0,13.345974329054844,0,7.838389731621937,0,21.18436406067678
19,9104.0625,17362.125,3736.125,0,3632.0625,0,5150.8125,0,38985.1875,23.352619504523354,44.53518403624454,9.583447559409583,0,9.316519254909316,0,13.212229644913212,0,22.528748899822528
20,21154.5,19434.9375,8803.125,0,10673.4375,0,16711.875,0,76777.875,27.55285946635017,25.313200580245287,11.465705452254312,0,13.901709965273199,0,21.766524535877036,0,35.66823450115023
21,14043.375,11408.0625,3169.125,0,7756.875,0,8301.9375,0,44679.375,31.431449074656932,25.533173863779428,7.093037895001888,0,17.36119853959461,0,18.58114062696714,0,35.94233916656175
22,17040.9375,7436.25,4960.125,0,3705.75,7599.9375,4118.625,0,44861.625,37.985555583419014,16.575971111166837,11.056498733605839,0,8.260400732251675,16.940843092509468,9.18073074704717,0,34.38197457180831
23,21898.6875,15547.5,7919.4375,0,1866.9375,0,16508.25,0,63740.8125,34.35583363484738,24.39175057581828,12.42443763954217,0,2.928951525366891,0,25.899026624425286,0,28.827978149792177
24,11558.25,16742.25,16207.875,0,3276,0,9216,3297.375,60297.75,19.16862569498862,27.765961416470763,26.87973431844472,0,5.433038546214411,0,15.284152393746037,5.468487630135453,21.91564529180729
25,12735.5625,15042.9375,8422.3125,0,1450.6875,9214.3125,7200,0,54065.8125,23.555666531414836,27.82338191995172,15.577889447236181,0,2.6831881977173655,17.04277078976664,13.31710311391325,0,33.04306210139726
26,25769.8125,13646.25,2689.875,0,4525.875,8872.875,8171.4375,0,63676.125,40.47013303651879,21.430716771788486,4.224306991042561,0,7.107648274765463,13.934382784756453,12.83281214112825,0,33.87484320065017
27,11098.125,7454.8125,7695,0,5791.5,0,8296.3125,0,40335.75,27.51436380878005,18.481898811848048,19.07736933117644,0,14.358230601885424,0,20.568137446310036,0,34.926368048195464
28,7689.375,3087,13202.4375,0,6936.1875,0,2710.125,6536.8125,40161.9375,19.145926413535204,7.686382162215157,32.873009425902325,0,17.27055000770319,0,6.747993669379122,16.276138321265005,28.68781156947372
29,11413.6875,9029.25,11068.3125,0,46.6875,0,4327.3125,0,35885.25,31.806069346040506,25.161452128660105,30.843626559658915,0,0.13010220076493825,0,12.058749764875541,0,12.18885196564048
30,22262.625,12312,4284.5625,0,6257.8125,9780.1875,6221.25,0,61118.4375,36.425383093276885,20.14449404077125,7.010261837927385,0,10.23882932216649,16.002024757259214,10.179006948598776,0,36.41986102802448
31,18204.75,6229.6875,14931,0,10321.875,0,9352.6875,3291.1875,62331.1875,29.20648672063243,9.994495131349776,23.9543005658283,0,16.559727824854935,0,15.004828040537491,5.2801617167970685,33.32412347560976
32,15496.875,6035.625,12722.0625,0,7932.375,0,6539.0625,4276.6875,53002.6875,29.23790421004595,11.387394271281055,24.002674392689993,0,14.965986394557824,0,12.337228183004871,8.068812548420304,29.699621352050244
33,11181.375,3789.5625,5275.125,0,9721.125,2628,9446.0625,0,42041.25,26.5962001605566,9.013914905004015,12.547497993042548,0,23.12282579609312,6.251003478726251,22.468557666577468,0,51.842386941396846
34,28954.6875,13301.4375,3838.5,0,6317.4375,0,8818.875,0,61230.9375,47.287676266593174,21.723393505121493,6.268889807542142,0,10.317394699370723,0,14.402645721372467,0,24.720040420743192
35,24378.75,5829.75,5510.8125,0,3757.5,9115.3125,9802.125,0,58394.25,41.74854544753978,9.983431587870381,9.437251955457942,0,6.434708896852001,15.60994875351597,16.786113358763917,0,38.830771009131894
36,22470.1875,11900.25,7672.5,0,6901.875,0,10269,875.8125,60089.625,37.394454533540525,19.80416752475989,12.768427161926871,0,11.485967835545653,0,17.089472600303296,1.4575103439237638,28.998090605971367
37,15675.1875,16931.8125,7188.1875,0,11270.25,0,6973.3125,156.9375,58195.6875,26.93530770643443,29.094617191351162,12.351752868285988,0,19.36612571163456,0,11.98252447829575,0.2696720439981055,31.43341732893972
38,22095.5625,12647.25,4943.8125,0,4860,3975.75,2628.5625,0,51150.9375,43.19678891515918,24.72535327431682,9.665145433551437,0,9.501292131742453,7.772584813328201,5.138835431901908,0,22.412712376972564
39,13127.0625,8656.875,3624.75,0,8842.5,0,6680.25,0,40931.4375,32.07085629474899,21.14969697802575,8.855662594307859,0,21.603199252408373,0,16.320584880509024,0,37.92378413291739
