polygon_id,a_tree,a_grass,a_soil,a_water,a_building,a_road,a_other_paved,a_shrub,a_total,p_tree,p_grass,p_soil,p_water,p_building,p_road,p_other_paved,p_shrub,Impervious Surface (%)
1,154.125,635.625,107.4375,0,6.75,0,5.0625,0,909,16.955445544554458,69.92574257425743,11.819306930693068,0,0.7425742574257426,0,0.5569306930693069,0,1.2995049504950495
2,287.4375,1056.9375,394.3125,0,33.75,0,0,0,1772.4375,16.217073944779433,59.631862900666455,22.24690574420819,0,1.9041574103459218,0,0,0,1.9041574103459218
3,437.625,768.375,597.9375,0,101.25,0,1186.875,0,3092.0625,14.153174458795705,24.849918137165727,19.337820629434237,0,3.274513370929598,0,38.38457340367473,0,41.65908677460433
4,0,600.75,522,0,20.8125,0,0,0,1143.5625,0,52.53320216428923,45.646827348745695,0,1.8199704869650761,0,0,0,1.8199704869650761
5,307.6875,1404,75.375,0,46.6875,0,381.9375,0,2215.6875,13.886773292713887,63.366336633663366,3.4018786494034017,0,2.107133790302107,0,17.237877633917236,0,19.345011424219344
6,255.9375,5.625,0,0,0,0,0,0,261.5625,97.84946236559139,2.1505376344086025,0,0,0,0,0,0,0
7,383.0625,0,0,0,0,0,16.875,0,399.9375,95.78059071729957,0,0,0,0,0,4.219409282700422,0,4.219409282700422
8,1199.8125,1226.25,631.6875,0,119.8125,0,508.5,0,3686.0625,32.54997710972074,33.26720585991149,17.1371890737067,0,3.2504196551197926,0,13.795208301541278,0,17.045627956661072
9,172.6875,709.3125,375.1875,0,97.3125,0,658.125,0,2012.625,8.580212409167133,35.24315259921744,18.64169927333706,0,4.835103409726104,0,32.69983230855226,0,37.53493571827837
10,0,304.3125,800.4375,0,78.75,0,1446.1875,0,2629.6875,0,11.572192513368984,30.43850267379679,0,2.9946524064171123,0,54.99465240641711,0,57.98930481283422
11,14.625,839.25,436.5,0,74.25,0,806.625,0,2171.25,0.6735751295336788,38.652849740932645,20.10362694300518,0,3.419689119170984,0,37.15025906735751,0,40.5699481865285
12,261.5625,507.9375,0,0,15.75,0,147.9375,0,933.1875,28.028933092224236,54.43037974683544,0,0,1.6877637130801686,0,15.852923447860157,0,17.540687160940323
13,855.5625,518.0625,424.6875,0,24.75,0,86.0625,0,1909.125,44.81437831467295,27.136122569239834,22.245138479670008,0,1.296405421331762,0,4.5079552150854445,0,5.804360636417207
14,55.6875,280.6875,797.0625,0,34.3125,0,0,0,1167.75,4.76878612716763,24.03660886319846,68.25626204238921,0,2.9383429672447012,0,0,0,2.9383429672447012
15,75.375,500.625,2.25,0,16.3125,0,1222.3125,0,1816.875,4.148606811145511,27.55417956656347,0.12383900928792571,0,0.8978328173374612,0,67.27554179566565,0,68.17337461300309
16,569.8125,171.5625,56.25,0,7.3125,0,68.625,0,873.5625,65.22858982614295,19.639407598197035,6.439150032195751,0,0.8370895041854475,0,7.855763039278815,0,8.692852543464264
17,1433.25,2493.5625,800.4375,0,110.8125,0,520.3125,0,5358.375,26.74784799496116,46.53579676674365,14.938064245223599,0,2.068024354398488,0,9.710266638673106,0,11.778290993071593
18,840.375,1022.625,215.4375,0,28.6875,0,448.875,0,2556,32.87852112676056,40.00880281690141,8.428697183098592,0,1.1223591549295775,0,17.56161971830986,0,18.683978873239436
19,607.5,497.8125,779.0625,0,122.0625,0,720.5625,0,2727,22.277227722772277,18.254950495049506,28.568481848184817,0,4.476072607260726,0,26.423267326732674,0,30.899339933993396
20,1191.375,3268.6875,467.4375,0,331.875,0,524.8125,0,5784.1875,20.597102013031215,56.51074589127687,8.08129923174171,0,5.737625206651755,0,9.073227657298453,0,14.810852863950208
21,533.25,192.9375,339.75,0,241.875,0,330.1875,0,1638,32.55494505494506,11.778846153846153,20.741758241758244,0,14.766483516483516,0,20.157967032967033,0,34.92445054945055
22,536.625,116.4375,974.25,0,50.625,0,0,0,1677.9375,31.98122695273215,6.939322829366409,58.06235333556822,0,3.0170968823332216,0,0,0,3.0170968823332216
23,1474.875,1091.8125,201.9375,0,80.4375,0,924.1875,0,3773.25,39.087656529517,28.935599284436492,5.351818723911747,0,2.131782945736434,0,24.49314251639833,0,26.62492546213476
24,1500.75,1444.5,1289.25,0,62.4375,0,170.4375,18,4485.375,33.45874090795084,32.20466516177577,28.74341610233258,0,1.3920240782543265,0,3.799849510910459,0.401304238776022,5.212792747418786
25,0,1186.875,345.375,0,112.5,0,1000.6875,0,2645.4375,0,44.86497980012758,13.055496491601106,0,4.25260472039124,0,37.82691898788008,0,42.07952370827132
26,2435.0625,641.8125,79.875,0,62.4375,0,783,0,4002.1875,60.84328882642305,16.036542515811668,1.9957835558678847,0,1.5600843288826423,0,19.564300773014757,0,21.1243851018974
27,307.125,288.5625,179.4375,0,0,0,427.5,0,1202.625,25.537885874649202,23.99438727782975,14.92048643592142,0,0,0,35.547240411599624,0,35.547240411599624
28,0,274.5,571.5,0,0,0,241.3125,132.75,1220.0625,0,22.498847395112957,46.84186260949746,0,0,0,19.778699861687414,10.880590133702167,22.193481634764613
29,511.875,660.9375,0,0,46.6875,0,1395.5625,0,2615.0625,19.574101957410196,25.27425252742525,0,0,1.7853301785330178,0,53.36631533663153,0,55.151645515164546
30,572.0625,928.125,351.5625,0,199.6875,0,1297.6875,0,3349.125,17.0809539805173,27.712462210278805,10.49714477662076,0,5.962378233120591,0,38.747060799462545,0,44.709439032583134
31,822.375,99.5625,1724.625,0,420.75,0,675,0,3742.3125,21.97504885014279,2.6604539305576433,46.084473169998496,0,11.243048248910267,0,18.0369758003908,0,29.28002404930107
32,148.5,317.8125,1216.125,0,369,0,425.8125,0,2477.25,5.994550408719346,12.829246139872843,49.09173478655767,0,14.895549500454134,0,17.188919164396005,0,32.084468664850135
