Variable,Importance,Model,n_tree
build_near_dest,100,cf_no_dins,500
build_area,11.328014814039818,cf_no_dins,500
build_Mean_distroad,10.28976124721132,cf_no_dins,500
build_Mean_elev_100m,9.704530903186141,cf_no_dins,500
build_p_building_300,9.051422559875913,cf_no_dins,500
build_Mean_slope_100m_DEM,8.8296942535706755,cf_no_dins,500
parcel_Build_P,8.579454084485459,cf_no_dins,500
build_p_building_200,8.57734730937725,cf_no_dins,500
build_Mean_elev_30m,8.068858585959747,cf_no_dins,500
build_p_otherpaved_300,7.36695620469488,cf_no_dins,500
build_p_building_100,7.064334204133719,cf_no_dins,500
parcel_Can_P,7.023816052859163,cf_no_dins,500
build_p_tree_300,6.6067395128137845,cf_no_dins,500
build_Mean_builddens,6.396395802454058,cf_no_dins,500
parcel_Grass_P,5.886400000950881,cf_no_dins,500
build_p_tree_100,5.809643799565363,cf_no_dins,500
build_p_soil_200,5.651217167199183,cf_no_dins,500
build_p_otherpaved_200,5.406946919728095,cf_no_dins,500
parcel_Paved_P,5.31085706852613,cf_no_dins,500
build_p_road_300,5.102481848949919,cf_no_dins,500
parcel_Road_P,5.088354024411562,cf_no_dins,500
build_Mean_slope_30m_DEM,5.070722174496338,cf_no_dins,500
build_p_otherpaved_100,4.879419393842554,cf_no_dins,500
parcel_area,4.732163596471635,cf_no_dins,500
build_p_grass_300,4.635168699209223,cf_no_dins,500
build_p_tree_200,4.55779324822022,cf_no_dins,500
parcel_Shrub_P,4.555383601062175,cf_no_dins,500
build_Mean_aspect_100m_DEM,4.209768461945367,cf_no_dins,500
build_p_soil_300,4.08819434882897,cf_no_dins,500
parcel_Soil_P,4.010536569262106,cf_no_dins,500
build_p_soil_100,3.7274637437839346,cf_no_dins,500
build_p_grass_200,3.3291252422274646,cf_no_dins,500
parcel_year_built,3.302431427480046,cf_no_dins,500
build_p_road_200,3.1100332337053676,cf_no_dins,500
build_near_build,3.088697297504553,cf_no_dins,500
build_p_grass_100,2.815766411429341,cf_no_dins,500
parcel_Water_P,2.5836620859328976,cf_no_dins,500
build_p_shrub_300,2.486679571485559,cf_no_dins,500
build_p_road_100,2.1496488209059375,cf_no_dins,500
build_min_dist_shrub,2.141592642982522,cf_no_dins,500
build_p_shrub_200,2.044015474338565,cf_no_dins,500
build_overhang_ht,1.9676498636784507,cf_no_dins,500
build_perc_overhang,1.8448795627245138,cf_no_dins,500
build_Mean_aspect_30m_DEM,1.6878105069186387,cf_no_dins,500
build_p_shrub_100,1.4400098309539988,cf_no_dins,500
build_p_building_10,1.3410827935130496,cf_no_dins,500
build_p_tree_10,1.2640372422465522,cf_no_dins,500
build_Mean_distall_road,1.2461067689724195,cf_no_dins,500
build_has_tree_overhang,1.1111270672990818,cf_no_dins,500
build_p_soil_10,0.9998713819910761,cf_no_dins,500
build_p_otherpaved_10,0.9855561985561497,cf_no_dins,500
build_min_dist_tree,0.977687418788001,cf_no_dins,500
build_p_grass_10,0.7404284628229478,cf_no_dins,500
build_p_water_300,0.526533663194199,cf_no_dins,500
build_p_road_10,0.3827083463144765,cf_no_dins,500
build_p_water_200,0.20610985619619557,cf_no_dins,500
build_p_water_100,0.10491545154590601,cf_no_dins,500
build_p_shrub_10,0.05292486925559583,cf_no_dins,500
build_p_water_10,0,cf_no_dins,500
build_WINDOWPANE,100,cf_dins,500
build_EAVES,81.12062431824413,cf_dins,500
build_near_dest,59.483021625794684,cf_dins,500
build_VENTSCREEN,30.756691395616624,cf_dins,500
build_p_otherpaved_300,26.775405115979023,cf_dins,500
build_p_otherpaved_200,20.98866097225175,cf_dins,500
build_Mean_distroad,19.821646336013703,cf_dins,500
build_ROOFCONSTR,16.442053790260744,cf_dins,500
build_min_dist_shrub,16.08682375238626,cf_dins,500
build_FENCEATTAC,14.022578671715568,cf_dins,500
build_Mean_elev_100m,13.457520836327546,cf_dins,500
build_area,13.361197742260234,cf_dins,500
build_Mean_elev_30m,12.42952859805431,cf_dins,500
parcel_Paved_P,12.07404396706943,cf_dins,500
build_PATIOCOVER,11.764401520652893,cf_dins,500
build_p_grass_100,11.6355323122702,cf_dins,500
