Variable,Importance,Model,n_tree
build_near_dest,100,cf_no_dins_ll,500
X,23.146293598586688,cf_no_dins_ll,500
build_area,19.941259887494013,cf_no_dins_ll,500
build_Mean_distroad,17.598438255342604,cf_no_dins_ll,500
Y,16.314257036008968,cf_no_dins_ll,500
parcel_Build_P,13.094921066473416,cf_no_dins_ll,500
build_Mean_elev_30m,10.422649758137274,cf_no_dins_ll,500
build_Mean_builddens,9.792043801817126,cf_no_dins_ll,500
build_p_otherpaved_300,8.173334878449781,cf_no_dins_ll,500
build_p_grass_300,6.482982315033453,cf_no_dins_ll,500
build_Mean_slope_30m_DEM,6.47520826210913,cf_no_dins_ll,500
build_near_build,6.374742514466915,cf_no_dins_ll,500
build_p_tree_100,5.77770602883997,cf_no_dins_ll,500
build_p_road_300,5.665983275061162,cf_no_dins_ll,500
parcel_area,5.625869015842468,cf_no_dins_ll,500
build_p_soil_200,5.0136183727825445,cf_no_dins_ll,500
build_Mean_aspect_100m_DEM,4.332116691037176,cf_no_dins_ll,500
parcel_year_built,3.0629914276287957,cf_no_dins_ll,500
build_overhang_ht,2.9355285337310093,cf_no_dins_ll,500
build_min_dist_shrub,2.7356066600997306,cf_no_dins_ll,500
build_p_shrub_300,2.7124926872487523,cf_no_dins_ll,500
build_min_dist_tree,0.8110118085939191,cf_no_dins_ll,500
build_p_water_100,0.09004383609974152,cf_no_dins_ll,500
