Variable,Importance,Model,n_tree
build_WINDOWPANE,100,cf_dins_ll,500
build_EAVES,77.97767724604537,cf_dins_ll,500
build_near_dest,48.09937163223135,cf_dins_ll,500
build_p_otherpaved_300,38.10416156654035,cf_dins_ll,500
build_VENTSCREEN,27.520407343791366,cf_dins_ll,500
build_Mean_distroad,26.152928171936296,cf_dins_ll,500
build_Mean_builddens,20.18655659971075,cf_dins_ll,500
build_PATIOCOVER,15.982574694269317,cf_dins_ll,500
Y,15.847814131033969,cf_dins_ll,500
build_ROOFCONSTR,15.465129022372217,cf_dins_ll,500
build_min_dist_shrub,14.676985954122488,cf_dins_ll,500
X,14.16983314026226,cf_dins_ll,500
build_FENCEATTAC,13.951920942350249,cf_dins_ll,500
build_Mean_elev_30m,12.985736937610396,cf_dins_ll,500
build_p_tree_100,12.90571443864143,cf_dins_ll,500
build_DECKPORCHO,12.447352241592718,cf_dins_ll,500
build_area,11.731516623641756,cf_dins_ll,500
build_p_soil_200,7.9234616690522355,cf_dins_ll,500
parcel_Build_P,7.705186276376582,cf_dins_ll,500
parcel_area,6.531742527689159,cf_dins_ll,500
parcel_year_built,5.943933637387695,cf_dins_ll,500
build_Mean_aspect_100m_DEM,5.454242793667992,cf_dins_ll,500
build_PROPANETAN,5.310543963549745,cf_dins_ll,500
build_VEGCLEARAN,5.154769279577554,cf_dins_ll,500
build_p_grass_300,4.375722080957668,cf_dins_ll,500
build_p_shrub_300,4.034054359307657,cf_dins_ll,500
build_p_road_300,2.926528522725514,cf_dins_ll,500
build_Mean_slope_30m_DEM,2.5404147947216993,cf_dins_ll,500
build_EXTERIORSI,2.4334909189897123,cf_dins_ll,500
build_min_dist_tree,1.0817406839303891,cf_dins_ll,500
build_overhang_ht,0.5402624879980034,cf_dins_ll,500
build_p_water_100,-0.03125159215207184,cf_dins_ll,500
build_near_build,-2.425993215643096,cf_dins_ll,500
